,ensembl.id,symbol,biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSP90AA1,ENSG00000080824,HSP90AA1,protein_coding,24455.97423,0.610223364,0.118704769,5.140681089,2.74E-07,2.54E-06
KCTD7,ENSG00000243335,KCTD7,protein_coding,210.1515863,0.604053016,0.147413422,4.097679888,4.17E-05,0.000242117
POLH,ENSG00000170734,POLH,protein_coding,203.8141991,0.602052058,0.144693592,4.160875748,3.17E-05,0.000189013
ERGIC1,ENSG00000113719,ERGIC1,protein_coding,5264.137944,0.601266291,0.086590751,6.943770381,3.82E-12,7.84E-11
ZDHHC3,ENSG00000163812,ZDHHC3,protein_coding,2132.789767,0.589698188,0.0740698,7.96138487,1.70E-15,5.40E-14
TSN,ENSG00000211460,TSN,protein_coding,1201.85585,0.586298638,0.099602702,5.886372839,3.95E-09,5.02E-08
KCNC4,ENSG00000116396,KCNC4,protein_coding,97.90688881,0.583107991,0.188127471,3.099536655,0.001938236,0.007141367
ZNF276,ENSG00000158805,ZNF276,protein_coding,422.664576,0.54657234,0.133719305,4.087460216,4.36E-05,0.0002518
RAB31,ENSG00000168461,RAB31,protein_coding,78.60962859,0.519622764,0.18621044,2.790513596,0.005262449,0.01698886
PKP1,ENSG00000081277,PKP1,protein_coding,2078.353073,0.519054467,0.087781539,5.913025359,3.36E-09,4.32E-08
MTCH1,ENSG00000137409,MTCH1,protein_coding,2916.741094,0.502668547,0.077149944,6.51547524,7.25E-11,1.20E-09
NDUFC2,ENSG00000151366,NDUFC2,protein_coding,565.6084785,0.493096346,0.10592452,4.655167156,3.24E-06,2.40E-05
RASSF3,ENSG00000153179,RASSF3,protein_coding,352.1094362,0.481659277,0.111246801,4.329646081,1.49E-05,9.59E-05
PHF1,ENSG00000112511,PHF1,protein_coding,600.6478072,0.471257319,0.096154817,4.901026647,9.53E-07,7.94E-06
LMAN2L,ENSG00000114988,LMAN2L,protein_coding,874.2387168,0.464378633,0.101090736,4.593681384,4.35E-06,3.13E-05
ZBTB4,ENSG00000174282,ZBTB4,protein_coding,724.1280758,0.461040931,0.088743816,5.195189368,2.05E-07,1.94E-06
HDAC4,ENSG00000068024,HDAC4,protein_coding,159.5668446,0.451989142,0.151481071,2.983799476,0.002846933,0.010003973
TLR6,ENSG00000174130,TLR6,protein_coding,120.6605725,0.447866309,0.188231414,2.379338808,0.017343727,0.046982123
ADCK5,ENSG00000173137,ADCK5,protein_coding,157.5955816,0.408869201,0.191172409,2.138745882,0.032456255,0.079283473
NUP37,ENSG00000075188,NUP37,protein_coding,582.9009793,0.408234578,0.112766459,3.620177326,0.000294401,0.00136855
ORAI2,ENSG00000160991,ORAI2,protein_coding,385.7835778,0.390536804,0.116828802,3.342812703,0.000829339,0.003420199
FAM126B,ENSG00000155744,FAM126B,protein_coding,186.7511914,0.38864578,0.14141207,2.748321139,0.005990131,0.018986636
ATP2C1,ENSG00000017260,ATP2C1,protein_coding,2771.5436,0.376805483,0.077942068,4.834430144,1.34E-06,1.08E-05
ZBTB34,ENSG00000177125,ZBTB34,protein_coding,175.5863717,0.353425981,0.143036458,2.470880402,0.013478089,0.038069247
LRP11,ENSG00000120256,LRP11,protein_coding,1080.562358,0.350867971,0.092477576,3.794087022,0.000148188,0.000743084
TOP3A,ENSG00000177302,TOP3A,protein_coding,356.2350883,0.34369689,0.106966554,3.213124825,0.001312992,0.00507613
CASC4,ENSG00000166734,CASC4,protein_coding,1619.096123,0.330586064,0.08268006,3.998377167,6.38E-05,0.000355087
DEPDC5,ENSG00000100150,DEPDC5,protein_coding,179.4866208,0.324742559,0.140111954,2.317736281,0.020463658,0.054011064
ZNF766,ENSG00000196214,ZNF766,protein_coding,343.8145473,0.309933558,0.123498498,2.509613975,0.01208632,0.034680127
FAM168B,ENSG00000152102,FAM168B,protein_coding,1811.544958,0.308204613,0.0836977,3.682354641,0.00023109,0.00110102
POLR3A,ENSG00000148606,POLR3A,protein_coding,3014.612457,0.301197447,0.080473806,3.742801058,0.00018198,0.000890515
DHDDS,ENSG00000117682,DHDDS,protein_coding,583.4035058,0.297405194,0.09342804,3.183254138,0.001456297,0.005561624
GALNT7,ENSG00000109586,GALNT7,protein_coding,1396.346348,0.288810791,0.093266161,3.096629998,0.00195734,0.007202702
CLASP1,ENSG00000074054,CLASP1,protein_coding,666.9365536,0.2881784,0.091501004,3.149456161,0.001635746,0.006181635
GSTM3,ENSG00000134202,GSTM3,protein_coding,591.2093935,0.278445936,0.110381142,2.522586108,0.011649543,0.033629964
MTOR,ENSG00000198793,MTOR,protein_coding,1364.159193,0.276320245,0.084791562,3.258817722,0.001118775,0.004422966
PCGF2,ENSG00000277258,PCGF2,protein_coding,394.8645547,0.249914163,0.103228515,2.420979942,0.015478731,0.04271164
PUS7,ENSG00000091127,PUS7,protein_coding,436.6110405,0.237894812,0.110960959,2.143950572,0.032036847,0.078420241
PTPLAD1,ENSG00000074696,PTPLAD1,protein_coding,2151.310859,0.216486274,0.082869447,2.612377425,0.008991493,0.026972857
VCP,ENSG00000165280,VCP,protein_coding,4940.18627,0.214542832,0.073652894,2.91289072,0.003580999,0.012171883
PSMB2,ENSG00000126067,PSMB2,protein_coding,1550.737142,0.213321364,0.092614938,2.303314865,0.021261134,0.055797054
TOR1AIP2,ENSG00000169905,TOR1AIP2,protein_coding,660.0085544,0.183078103,0.089481174,2.045995763,0.040756787,0.09582605
ZC3H7B,ENSG00000100403,ZC3H7B,protein_coding,1020.828663,-0.18213099,0.087466086,-2.082304122,0.0373147,0.08916063
APPBP2,ENSG00000062725,APPBP2,protein_coding,750.7218049,-0.215700764,0.099071936,-2.177213581,0.029464635,0.073278187
PNPO,ENSG00000108439,PNPO,protein_coding,517.6741006,-0.21790354,0.103035488,-2.114839697,0.034443612,0.083257506
PSKH1,ENSG00000159792,PSKH1,protein_coding,352.6465987,-0.248350219,0.108882738,-2.280896155,0.022554593,0.058627132
MED29,ENSG00000063322,MED29,protein_coding,396.840776,-0.260413967,0.110499419,-2.356699877,0.018438142,0.049425991
IL6ST,ENSG00000134352,IL6ST,protein_coding,2272.873935,-0.263632281,0.111762759,-2.358856229,0.018331356,0.049179379
DIEXF,ENSG00000117597,DIEXF,protein_coding,522.4065273,-0.277458671,0.100412626,-2.763185091,0.00572403,0.018258041
UHRF1BP1,ENSG00000065060,UHRF1BP1,protein_coding,991.5179732,-0.279770358,0.118033157,-2.370269217,0.017775137,0.047911327
CDC42BPA,ENSG00000143776,CDC42BPA,protein_coding,1504.886937,-0.284799211,0.091448898,-3.114298993,0.001843825,0.006838976
MED13,ENSG00000108510,MED13,protein_coding,1677.835836,-0.313865591,0.105524937,-2.974326254,0.002936327,0.010274673
N6AMT1,ENSG00000156239,N6AMT1,protein_coding,230.9365046,-0.32812896,0.138605118,-2.367365396,0.017915236,0.048202999
RAPGEF1,ENSG00000107263,RAPGEF1,protein_coding,613.5322672,-0.333910813,0.088060249,-3.791844999,0.000149532,0.000749191
CCDC50,ENSG00000152492,CCDC50,protein_coding,1382.820506,-0.36118034,0.08093567,-4.462560705,8.10E-06,5.51E-05
HECA,ENSG00000112406,HECA,protein_coding,181.1683242,-0.393841219,0.141363833,-2.786011176,0.005336103,0.017192157
LRCH1,ENSG00000136141,LRCH1,protein_coding,253.9392779,-0.394588194,0.125111658,-3.153888308,0.001611107,0.00610239
MTHFR,ENSG00000177000,MTHFR,protein_coding,202.9518455,-0.405967933,0.139953311,-2.900738333,0.003722846,0.012584567
SYNPO,ENSG00000171992,SYNPO,protein_coding,282.2109678,-0.41698062,0.125501546,-3.322513824,0.000892103,0.003648274
XPO4,ENSG00000132953,XPO4,protein_coding,1077.280751,-0.446802007,0.098402812,-4.540541064,5.61E-06,3.94E-05
PRICKLE1,ENSG00000139174,PRICKLE1,protein_coding,339.6447684,-0.458469233,0.114940859,-3.988740278,6.64E-05,0.000367753
SYTL1,ENSG00000142765,SYTL1,protein_coding,387.0441959,-0.492832194,0.21727349,-2.268257363,0.023313525,0.060267035
ZNF783,ENSG00000204946,ZNF783,protein_coding,220.7005966,-0.525409844,0.140008188,-3.752707988,0.000174935,0.000859832
EPM2A,ENSG00000112425,EPM2A,protein_coding,44.21051096,-0.5697371,0.22489517,-2.533345202,0.011297963,0.032785781
WNT4,ENSG00000162552,WNT4,protein_coding,42.88953115,-0.588002747,0.228139788,-2.577379206,0.009955267,0.029392077
TANC2,ENSG00000170921,TANC2,protein_coding,1754.715797,-0.601156743,0.183550834,-3.275151253,0.001056054,0.004218128
RBMS2,ENSG00000076067,RBMS2,protein_coding,739.8278271,-0.632891681,0.090045489,-7.028577308,2.09E-12,4.41E-11
ZNF460,ENSG00000197714,ZNF460,protein_coding,50.01280141,-0.643316651,0.232766104,-2.763790093,0.005713428,0.018238219
TMEM136,ENSG00000181264,TMEM136,protein_coding,186.1456063,-0.659872718,0.144551859,-4.564954893,5.00E-06,3.54E-05
BMP3,ENSG00000152785,BMP3,protein_coding,219.0216606,-0.667228986,0.254211865,-2.624696471,0.008672624,0.02615788
SPEF2,ENSG00000152582,SPEF2,protein_coding,115.604756,-0.7163784,0.155419811,-4.609312009,4.04E-06,2.92E-05
PPP2R2C,ENSG00000074211,PPP2R2C,protein_coding,181.3690506,-0.717922615,0.130217906,-5.513240346,3.52E-08,3.84E-07
C14orf28,ENSG00000179476,C14orf28,protein_coding,52.53571705,-0.724071488,0.215477075,-3.360317975,0.000778528,0.003242827
KLF3,ENSG00000109787,KLF3,protein_coding,530.6067443,-0.747927845,0.11146461,-6.710002814,1.95E-11,3.54E-10
RELB,ENSG00000104856,RELB,protein_coding,70.15446668,-0.771978954,0.205242828,-3.761295634,0.000169035,0.00083429
SLC1A4,ENSG00000115902,SLC1A4,protein_coding,890.8154762,-0.844935257,0.20463243,-4.12903887,3.64E-05,0.000213737
ECM2,ENSG00000106823,ECM2,protein_coding,24.34248867,-0.895998236,0.293213597,-3.055786795,0.002244708,0.008115896
PRKX,ENSG00000183943,PRKX,protein_coding,325.80613,-0.950221648,0.112808345,-8.423327597,3.66E-17,1.40E-15
FOSL2,ENSG00000075426,FOSL2,protein_coding,970.6423273,-0.965432742,0.095824573,-10.07500174,7.13E-24,4.86E-22
EBF4,ENSG00000088881,EBF4,protein_coding,45.8035796,-0.972916578,0.226292098,-4.299383793,1.71E-05,0.000108493
FAIM3,ENSG00000162894,FAIM3,protein_coding,29.94444379,-0.99907196,0.286298253,-3.48961948,0.000483709,0.002133571
VAX1,ENSG00000148704,VAX1,protein_coding,11.99747352,-1.052782515,0.336702606,-3.126742996,0.001767544,0.006604655
SULF1,ENSG00000137573,SULF1,protein_coding,7.645175901,-1.090120593,0.365327022,-2.98395828,0.002845456,0.010000896
CEACAM6,ENSG00000086548,CEACAM6,protein_coding,427.8563426,-2.105078167,0.150979842,-13.94277635,3.48E-44,8.04E-42
ZNF516,ENSG00000101493,ZNF516,protein_coding,47.2175227,-2.245105063,0.240307714,-9.342625843,9.40E-21,5.11E-19
