"HEK_Exosome_CAV_1"	"HEK_Exosome_CAV_2"	"HEK_Exosome_CAV_3"	"HEK_Exosome_PN4.11_1"	"HEK_Exosome_PN4.11_2"	"HEK_Exosome_PN4.11_3"	"HEK_Exosome_PRKCA4_1"	"HEK_Exosome_PRKCA4_2"	"HEK_Exosome_PRKCA4_3"	"HEK_Exosome_PRTF_2"	"HEK_Exosome_PRTF_3"	"HEK_Exosome_PTRF_1"	"HEK_Exosome_SDPR_1"	"HEK_Exosome_SDPR_2"	"HEK_Exosome_SDPR_3"
"hsa-miR-1271-5p"	4	0	18	31	2	3	2	9	25	13	0	21	15	7	1
"hsa-miR-15a-5p"	11	2	93	104	11	5	22	22	47	18	0	165	114	9	2
"hsa-miR-1296-5p"	28	5	20	21	4	7	31	7	38	3	0	25	19	18	1
"hsa-miR-5684-3p"	0	1	26	9	7	3	2	9	26	10	0	9	16	5	0
"hsa-miR-93-5p"	1497	303	5228	9380	2746	394	1750	5165	4746	4789	44	7912	8812	1442	67
"hsa-miR-3929-5p"	2	0	23	6	7	0	2	7	17	16	0	8	14	2	0
"hsa-miR-502-3p"	266	16	209	615	56	34	312	131	161	118	0	925	873	105	7
"hsa-miR-561-5p"	13	1	13	22	10	8	34	2	29	8	0	21	5	20	1
"hsa-miR-151a-5p"	48	15	63	160	12	54	111	21	46	7	2	31	16	58	7
"hsa-miR-7641-1-3p"	38	18	207	255	476	36	73	218	141	460	0	100	223	47	24
"hsa-miR-9-2-3p"	4	1	21	22	4	5	9	4	16	6	1	26	22	1	0
"hsa-miR-423-5p"	1138	203	396	806	126	232	1545	370	583	293	16	1256	936	537	44
"hsa-miR-500a-3p"	298	19	258	720	63	30	377	150	214	144	3	956	990	126	7
"hsa-miR-200c-3p"	13	1	19	66	6	1	12	3	13	11	2	9	12	6	14
"hsa-miR-629-5p"	1642	174	639	2872	365	169	2625	542	749	580	2	4882	3132	686	25
"hsa-let-7i-5p"	46	30	224	346	52	131	36	78	174	65	12	216	173	46	6
"hsa-miR-548ad-5p"	9	0	18	39	3	1	17	18	23	16	0	49	28	14	0
"hsa-miR-486-1-5p"	32	4	125	62	18	14	42	15	121	8	0	103	60	19	0
"hsa-miR-330-3p"	39	11	92	55	23	21	60	49	89	33	2	48	56	36	5
"hsa-miR-23a-3p"	30	12	122	112	21	38	24	41	86	23	1	83	135	17	2
"hsa-miR-1273a-5p"	9	3	80	54	27	14	19	58	103	31	3	51	44	26	3
"hsa-miR-374b-3p"	0	1	20	13	9	5	15	1	11	0	1	4	13	2	1
"hsa-miR-548ay-5p"	21	0	31	62	11	3	28	39	44	28	0	71	40	19	2
"hsa-miR-450a-2-5p"	68	12	74	62	9	80	150	14	93	15	0	75	52	52	21
"hsa-miR-21-5p"	3168	1151	15862	12937	1575	9702	4029	2257	5826	1214	315	4867	6170	2371	1248
"hsa-miR-365b-3p"	7	0	11	19	1	14	17	3	6	7	0	36	35	2	0
"hsa-miR-1973-3p"	1	0	11	0	0	0	0	0	27	1	0	0	1	0	0
"hsa-let-7f-2-3p"	18	3	4	1	1	1	18	1	6	1	0	9	3	1	0
"hsa-miR-1260b-5p"	4	1	10	8	11	4	1	7	25	3	1	12	12	1	0
"hsa-miR-6747-3p"	1	0	29	9	2	4	2	4	32	2	0	17	8	1	0
"hsa-miR-181d-5p"	41	3	49	51	6	9	61	27	60	23	0	96	92	27	6
"hsa-miR-129-2-5p"	56	12	18	34	6	8	105	13	23	18	0	134	71	13	0
"hsa-miR-582-3p"	49	12	27	62	8	13	63	26	32	16	2	41	52	32	3
"hsa-miR-1307-3p"	415	55	458	366	137	217	574	157	788	136	5	575	394	155	31
"hsa-miR-365a-3p"	7	0	11	19	1	14	17	3	6	7	0	36	35	2	0
"hsa-miR-1226-3p"	3	0	69	8	13	9	6	5	28	1	0	4	4	1	0
"hsa-miR-1273c-3p"	12	2	12	5	2	1	13	5	10	7	0	13	12	6	0
"hsa-miR-708-3p"	58	14	56	45	11	26	72	21	79	9	0	77	33	14	6
"hsa-miR-10b-3p"	4	2	47	55	9	2	13	25	37	8	0	152	109	10	1
"hsa-miR-18a-3p"	9	4	39	33	6	4	19	7	29	12	0	45	38	2	1
"hsa-miR-548e-3p"	41	13	89	103	15	12	45	52	68	62	0	153	121	28	1
"hsa-miR-320c-1-3p"	498	60	125	464	37	70	624	126	212	118	3	801	450	130	19
"hsa-miR-152-3p"	61	9	120	431	28	11	102	54	112	69	0	436	369	35	3
"hsa-miR-6126-5p"	1	1	26	1	1	3	3	2	45	3	0	1	4	0	6
"hsa-miR-574-5p"	84	6	12	31	0	11	119	5	30	3	1	39	53	30	2
"hsa-miR-760-3p"	132	19	62	110	12	42	237	43	98	22	0	170	127	22	6
"hsa-miR-1285-1-3p"	19	2	21	48	15	7	21	16	25	10	0	33	36	15	2
"hsa-miR-148a-3p"	38130	4988	23979	39430	1221	7554	59973	4484	27288	6094	188	47900	45729	11338	2415
"hsa-miR-99b-5p"	681	82	2850	1708	436	450	1177	589	2306	414	13	3597	2109	266	68
"hsa-miR-22-5p"	8	5	9	7	8	4	21	14	13	10	0	24	31	18	2
"hsa-miR-92a-1-5p"	16	1	45	30	15	6	14	7	84	6	1	17	20	2	2
"hsa-miR-548ab-5p"	6	0	20	16	4	7	8	11	9	8	1	29	26	8	2
"hsa-miR-296-5p"	10	0	7	13	3	3	12	9	3	2	0	19	14	2	0
"hsa-miR-19a-3p"	222	20	182	339	56	36	274	76	173	102	4	396	248	110	8
"hsa-miR-1301-3p"	57	5	69	180	26	0	40	38	54	22	1	124	108	11	2
"hsa-miR-361-5p"	55	11	201	283	91	14	89	106	147	82	1	556	404	18	2
"hsa-miR-183-5p"	237	38	1129	940	299	195	233	347	890	237	15	690	860	197	17
"hsa-miR-128-2-3p"	2708	343	4364	2924	457	2153	5479	934	5767	670	30	5388	2967	640	473
"hsa-miR-454-5p"	11	2	53	29	15	6	23	11	38	10	0	25	35	2	0
"hsa-miR-181a-1-5p"	258	45	534	607	154	191	488	287	648	185	9	726	612	228	35
"hsa-miR-301a-5p"	10	3	15	26	6	10	15	8	24	4	0	15	23	12	3
"hsa-miR-2110-3p"	4	0	29	9	1	4	3	1	15	2	0	9	6	0	1
"hsa-miR-3928-3p"	2	3	14	7	2	0	1	9	7	7	0	18	10	2	1
"hsa-miR-222-5p"	5	0	20	8	2	1	2	5	29	3	0	1	2	0	1
"hsa-miR-4664-3p"	12	2	4	4	2	2	19	1	14	2	0	14	3	14	1
"hsa-let-7e-5p"	60	11	115	111	32	68	50	45	152	16	3	46	106	15	5
"hsa-miR-532-5p"	2380	466	1536	1771	371	901	3231	794	2079	659	30	2960	2287	1257	145
"hsa-miR-6131-3p"	60	9	354	481	320	31	168	483	401	657	3	495	464	210	10
"hsa-miR-3613-5p"	134	12	90	117	29	53	177	30	75	20	1	73	107	80	13
"hsa-miR-10a-5p"	11541	1320	18084	17124	3394	7490	19367	5166	19960	2750	289	24086	16679	4108	1236
"hsa-miR-331-3p"	11	1	13	28	5	7	13	5	18	3	1	27	13	2	1
"hsa-miR-378d-2-5p"	214	24	94	170	43	36	161	63	153	74	0	300	111	78	5
"hsa-miR-4419a-3p"	0	0	19	13	8	1	4	9	19	11	0	29	22	1	0
"hsa-miR-186-5p"	569	168	851	977	325	285	784	454	1256	507	10	979	818	506	46
"hsa-miR-217-5p"	11	0	8	46	2	1	18	3	7	6	0	47	33	9	0
"hsa-miR-331-5p"	12	2	20	25	7	7	8	8	26	13	0	58	50	2	1
"hsa-miR-24-2-3p"	465	91	577	2213	92	183	584	247	433	307	6	3052	2295	86	19
"hsa-miR-375-3p"	22	5	31	54	2	24	21	6	18	7	6	31	11	8	13
"hsa-miR-548aq-3p"	9	3	12	14	4	6	12	11	15	4	0	15	16	9	0
"hsa-miR-4497-5p"	8	13	30	50	25	8	13	71	47	27	0	11	104	13	2
"hsa-miR-598-3p"	45	9	49	68	19	18	72	28	69	25	0	76	90	23	3
"hsa-let-7c-5p"	86	21	111	157	39	59	112	67	246	42	6	116	146	76	12
"hsa-miR-4459-3p"	1	1	18	1	3	4	3	4	23	4	0	5	8	4	2
"hsa-miR-25-5p"	23	3	67	54	14	11	11	21	85	10	0	16	39	5	0
"hsa-miR-421-3p"	96	16	200	228	41	21	96	62	134	63	0	233	170	19	3
"hsa-miR-4677-3p"	3	0	13	13	0	6	7	2	7	1	0	15	16	1	0
"hsa-miR-93-3p"	7	1	54	34	13	5	8	11	51	15	0	36	33	3	0
"hsa-miR-98-5p"	4	5	38	47	8	19	2	8	30	5	1	12	24	3	5
"hsa-let-7a-1-3p"	57	14	69	49	14	49	136	22	48	9	2	84	52	15	8
"hsa-miR-149-5p"	14	2	50	20	13	12	22	16	49	7	0	20	44	2	2
"hsa-miR-151b-3p"	12	3	13	26	1	6	24	7	6	2	1	12	5	16	2
"hsa-miR-33a-5p"	13	0	5	17	3	6	11	6	14	5	0	8	12	3	1
"hsa-miR-3909-3p"	1	0	13	5	1	1	2	1	13	7	0	9	6	0	0
"hsa-miR-28-5p"	11	7	100	122	14	13	16	56	75	28	0	69	86	10	0
"hsa-miR-185-5p"	91	34	248	404	108	51	89	257	345	191	3	272	333	68	5
"hsa-miR-374a-3p"	39	6	32	34	7	29	54	13	42	4	0	18	17	37	4
"hsa-miR-378c-5p"	1847	426	1893	3963	730	776	2781	1649	2974	1610	11	6604	3330	1392	103
"hsa-miR-10a-3p"	94	22	233	306	46	53	173	103	202	58	1	741	393	26	9
"hsa-miR-1307-5p"	103	21	49	59	9	56	117	21	112	18	2	101	40	25	7
"hsa-miR-31-5p"	45	4	149	222	45	39	22	50	123	22	0	137	175	26	0
"hsa-miR-378f-3p"	41	5	47	68	9	20	36	17	54	21	0	109	49	11	2
"hsa-miR-320e-3p"	68	10	86	288	7	19	97	59	64	59	2	346	201	12	10
"hsa-miR-374b-5p"	59	11	100	170	46	47	40	43	73	29	4	45	119	46	4
"hsa-miR-6723-3p"	0	0	3	2	12	1	0	0	20	3	0	1	1	8	0
"hsa-miR-193b-3p"	16	3	8	23	6	7	26	6	11	6	0	16	29	13	1
"hsa-miR-378i-5p"	671	127	679	1283	270	324	1117	440	947	451	10	1913	1225	530	45
"hsa-miR-543-3p"	2	1	14	1	0	5	12	0	16	0	0	3	1	1	1
"hsa-miR-4461-3p"	1	1	38	9	17	4	0	8	62	7	0	3	8	14	0
"hsa-miR-218-1-5p"	6694	2467	3660	6579	1302	2764	7666	1839	6808	2063	170	5087	8260	7604	790
"hsa-miR-21-3p"	10	1	21	61	3	19	27	3	9	4	0	20	15	5	3
"hsa-miR-193b-5p"	15	1	9	4	0	2	9	0	4	2	0	10	11	1	0
"hsa-miR-130b-5p"	29	6	313	30	21	48	29	24	249	15	0	84	32	4	8
"hsa-miR-29c-3p"	18	0	6	19	2	3	21	6	7	5	0	30	15	5	0
"hsa-miR-625-3p"	8	1	55	62	22	5	13	14	47	21	2	86	47	10	1
"hsa-miR-24-1-3p"	473	93	577	2214	93	184	590	247	433	308	6	3054	2296	88	19
"hsa-miR-3648-2-3p"	10	10	11	3	11	2	13	24	69	9	0	2	6	54	4
"hsa-miR-7641-2-5p"	120	54	210	250	171	60	126	317	202	214	0	112	282	199	20
"hsa-miR-424-5p"	41	4	102	175	14	17	77	34	78	26	1	365	204	5	0
"hsa-miR-652-3p"	64	18	84	183	29	13	55	61	99	32	1	205	152	47	1
"hsa-miR-138-1-5p"	14	3	3	15	0	0	6	1	6	5	0	10	13	6	0
"hsa-miR-195-3p"	11	0	10	6	1	5	11	2	18	2	0	3	2	6	0
"hsa-miR-671-5p"	16	1	16	27	5	3	22	9	10	4	1	21	18	11	1
"hsa-miR-218-1-3p"	2	0	6	12	1	1	6	3	9	6	0	21	23	2	1
"hsa-miR-5100-3p"	5	0	18	8	4	3	3	4	18	3	0	5	7	0	2
"hsa-miR-125a-3p"	12	0	15	16	6	2	18	9	15	6	0	53	30	5	1
"hsa-miR-676-3p"	21	7	38	38	5	4	48	9	26	15	0	84	37	3	1
"hsa-miR-484-5p"	167	24	895	887	87	31	132	230	549	161	3	1789	1139	74	2
"hsa-miR-126-3p"	14	5	202	155	36	11	6	59	237	21	1	73	107	11	1
"hsa-miR-7-3-5p"	1333	300	4165	6399	2358	617	1917	2754	3889	3190	56	5763	3534	1990	71
"hsa-miR-216b-5p"	8	1	1	12	1	1	5	8	5	2	0	18	15	1	0
"hsa-miR-576-5p"	13	6	17	13	10	7	13	7	13	4	1	18	8	3	2
"hsa-miR-6516-3p"	1	0	10	17	10	0	3	16	7	19	0	12	23	2	0
"hsa-miR-1304-5p"	8	1	9	26	2	3	6	12	6	14	0	21	9	0	1
"hsa-miR-29a-3p"	244	31	193	472	22	160	376	68	106	72	4	506	359	38	8
"hsa-miR-548f-1-3p"	9	3	5	13	1	4	20	5	7	1	0	6	7	5	1
"hsa-miR-16-1-5p"	69	10	265	663	43	27	62	100	198	107	3	726	618	25	5
"hsa-let-7a-3-3p"	57	14	70	49	15	49	136	22	49	9	2	85	53	15	8
"hsa-miR-140-3p"	476	47	577	926	241	134	545	335	627	259	8	805	880	320	15
"hsa-miR-30a-3p"	125	29	297	185	83	85	173	92	369	72	3	249	213	145	16
"hsa-miR-181b-1-5p"	274	42	412	506	144	129	403	246	449	203	3	887	604	141	12
"hsa-miR-196a-2-5p"	225	26	673	690	85	78	428	203	655	177	0	1404	843	103	18
"hsa-miR-1273e-3p"	3	4	46	45	13	5	11	22	34	14	0	31	45	7	0
"hsa-miR-542-3p"	39	12	71	164	15	22	75	29	75	46	2	222	180	28	3
"hsa-miR-9-3-5p"	345	69	220	331	54	110	799	102	274	64	12	318	338	261	33
"hsa-miR-1-2-3p"	4	2	17	8	3	0	8	12	11	7	0	14	17	9	0
"hsa-miR-106b-5p"	172	45	586	657	195	143	213	341	635	205	8	402	538	146	18
"hsa-miR-191-3p"	3	0	7	5	2	1	10	2	13	3	0	11	13	0	1
"hsa-miR-548l-5p"	4	0	9	3	0	5	11	6	14	4	0	7	2	2	1
"hsa-miR-224-5p"	263	33	326	320	27	64	283	87	281	67	1	371	355	105	5
"hsa-miR-550a-3-5p"	1	1	2	7	4	3	9	3	11	2	0	11	13	3	0
"hsa-miR-548h-1-5p"	11	6	15	14	1	2	26	7	6	6	0	9	12	6	3
"hsa-miR-615-3p"	208	16	892	279	25	242	433	100	641	61	2	890	393	24	59
"hsa-miR-100-5p"	153	417	4691	1251	132	4042	166	284	455	153	138	313	1279	54	174
"hsa-miR-4448-3p"	33	19	141	66	186	26	91	207	254	219	0	59	45	241	6
"hsa-miR-4454-5p"	5	0	16	18	0	11	3	4	14	2	1	13	10	2	1
"hsa-miR-378h-5p"	7	3	11	10	5	2	15	10	12	11	0	31	13	3	0
"hsa-miR-363-3p"	17	1	24	19	10	9	19	12	22	7	1	37	61	10	1
"hsa-miR-7974-3p"	15	3	6	5	1	12	2	1	1	0	2	0	0	0	0
"hsa-miR-103a-1-3p"	919	88	6122	6737	2076	574	1275	2038	5102	1170	70	4679	5405	409	70
"hsa-miR-130a-3p"	3	0	9	10	2	0	7	1	2	2	0	32	33	2	1
"hsa-miR-548h-4-5p"	11	6	15	14	1	2	26	7	6	6	0	10	12	6	3
"hsa-miR-28-3p"	100	10	288	325	59	34	126	88	271	74	1	459	328	72	7
"hsa-miR-15b-3p"	123	14	138	217	40	25	171	61	115	61	0	397	302	68	7
"hsa-miR-128-1-3p"	2744	347	4412	2970	462	2172	5519	945	5830	676	32	5433	2995	651	474
"hsa-miR-142-5p"	3	0	14	6	1	2	2	4	20	2	0	4	3	1	1
"hsa-miR-130b-3p"	34	5	41	103	8	5	61	18	31	25	0	178	114	12	1
"hsa-miR-4521-5p"	14	10	30	27	10	18	6	5	14	1	6	5	17	7	2
"hsa-miR-92a-2-3p"	11421	1200	26428	13700	2405	3915	21318	3125	10376	3317	135	29745	13512	3464	592
"hsa-miR-505-3p"	29	1	94	42	11	10	20	9	76	7	0	51	50	6	1
"hsa-miR-296-3p"	85	22	84	216	57	36	109	63	145	60	1	132	165	68	3
"hsa-miR-503-5p"	125	24	245	334	47	40	182	104	164	114	2	573	396	48	3
"hsa-miR-429-3p"	3	14	103	418	2	123	2	5	6	2	3	2	17	1	2
"hsa-miR-185-3p"	8	0	22	14	5	2	15	4	14	5	0	10	14	4	0
"hsa-miR-32-5p"	121	10	68	137	41	39	197	51	94	36	3	306	136	29	4
"hsa-miR-1268a-3p"	0	0	13	7	7	4	0	3	11	7	0	13	12	1	0
"hsa-miR-941-1-3p"	78	2	79	97	30	19	71	20	122	18	0	74	36	40	3
"hsa-miR-378e-3p"	24	4	30	48	16	9	24	21	58	19	0	65	42	21	2
"hsa-miR-3158-2-3p"	2	2	16	17	5	3	0	4	11	9	0	15	18	7	0
"hsa-miR-22-3p"	1163	92	767	4398	346	188	2059	709	564	762	12	7146	6360	389	25
"hsa-miR-1304-3p"	31	15	65	64	38	15	48	40	78	46	0	110	81	32	2
"hsa-miR-548b-5p"	8	0	14	29	6	2	12	14	21	6	0	30	15	3	1
"hsa-miR-9-2-5p"	345	69	220	331	54	110	799	102	274	64	12	318	338	261	33
"hsa-miR-548o-3p"	48	21	39	62	22	20	61	44	60	45	0	58	67	57	3
"hsa-miR-30d-3p"	4	1	9	18	1	2	12	5	13	3	0	15	5	12	0
"hsa-miR-4746-5p"	6	3	5	8	5	1	10	11	7	4	1	13	7	3	0
"hsa-miR-125a-5p"	293	43	1835	1743	141	124	433	240	1259	250	2	2192	1887	40	19
"hsa-miR-362-5p"	34	3	41	41	12	15	30	15	41	6	0	23	23	13	1
"hsa-miR-497-5p"	12	1	21	33	3	0	36	8	9	4	0	45	26	8	0
"hsa-miR-26a-2-5p"	1655	219	4520	3776	952	1134	1810	1490	4557	659	90	2349	3617	630	153
"hsa-miR-330-5p"	15	2	13	9	5	8	8	2	14	5	0	36	13	4	0
"hsa-let-7f-1-5p"	277	95	1503	1658	526	671	311	529	1507	315	34	626	989	309	52
"hsa-miR-548o-2-3p"	48	21	39	62	22	20	61	44	60	45	0	58	67	57	3
"hsa-miR-27a-3p"	196	53	430	538	62	247	261	126	288	80	6	749	479	129	20
"hsa-miR-874-3p"	3	1	15	11	3	7	13	2	27	5	1	18	11	3	0
"hsa-miR-188-5p"	7	2	7	11	4	1	3	8	6	2	0	26	22	6	1
"hsa-miR-378d-1-3p"	258	28	90	173	44	42	178	59	153	69	0	299	112	71	7
"hsa-miR-1246-5p"	11208	3355	24717	17921	5716	8611	26183	19667	17288	12718	36	41204	35111	17737	1966
"hsa-miR-374a-5p"	9	4	25	39	7	17	27	12	30	9	1	36	22	13	1
"hsa-miR-212-5p"	12	3	13	17	3	2	37	5	7	2	0	19	12	4	1
"hsa-miR-23b-3p"	18	6	89	83	24	21	23	24	83	16	1	54	63	15	1
"hsa-miR-143-3p"	123	9	234	127	84	27	50	80	283	33	2	74	58	78	4
"hsa-miR-320c-2-3p"	229	31	89	302	21	42	283	80	132	79	2	432	259	55	12
"hsa-miR-6087-3p"	5	4	51	17	25	13	18	26	78	13	0	23	25	8	4
"hsa-miR-641-5p"	5	0	21	20	19	4	17	18	30	7	0	15	17	8	1
"hsa-miR-550a-2-5p"	1	1	6	11	8	3	9	3	16	2	0	12	15	3	0
"hsa-miR-1303-5p"	5	1	21	22	16	0	6	14	17	8	0	13	9	4	0
"hsa-miR-148b-3p"	1480	255	1527	4225	179	312	2071	459	1366	607	23	4224	3228	889	78
"hsa-miR-4459-5p"	3	1	20	18	3	2	1	12	30	2	0	16	17	2	1
"hsa-let-7g-5p"	157	52	822	874	329	322	150	415	805	292	16	381	618	194	15
"hsa-miR-346-5p"	4	0	58	10	0	0	5	2	18	1	0	21	15	0	0
"hsa-miR-328-3p"	34	12	284	64	9	67	145	15	219	15	0	223	124	9	23
"hsa-miR-222-3p"	188	12	1136	441	101	147	213	112	641	54	5	556	500	81	16
"hsa-miR-708-5p"	19	5	117	147	22	13	27	53	84	47	3	132	91	12	0
"hsa-miR-9-1-5p"	345	69	220	331	54	110	799	102	274	64	12	318	338	261	33
"hsa-miR-148b-5p"	2	0	19	20	5	12	17	10	11	8	0	7	7	7	1
"hsa-miR-548h-5-5p"	11	6	15	14	1	2	26	7	6	6	0	9	12	6	3
"hsa-miR-27b-3p"	466	115	1086	1707	257	284	481	493	1005	377	17	1757	1431	411	25
"hsa-miR-378g-5p"	18	3	19	25	6	9	23	17	25	5	0	51	21	8	1
"hsa-miR-1262-5p"	4	0	8	5	2	1	8	3	9	5	0	14	13	3	0
"hsa-miR-1273f-5p"	10	15	75	28	17	9	26	42	162	24	0	63	43	23	8
"hsa-miR-548d-1-5p"	16	0	28	52	8	3	25	34	36	28	0	67	38	18	1
"hsa-miR-203a-3p"	8	10	47	91	9	24	27	19	58	12	2	79	32	10	6
"hsa-miR-19b-2-3p"	303	20	219	466	128	68	304	118	211	149	7	553	301	184	9
"hsa-miR-592-5p"	82	3	30	69	5	9	79	1	19	6	0	90	32	2	1
"hsa-miR-181a-1-3p"	24	4	27	28	9	9	43	11	44	1	0	21	15	17	3
"hsa-miR-618-5p"	11	1	13	31	4	5	14	12	20	2	0	17	9	2	0
"hsa-miR-1180-3p"	488	76	373	297	59	261	699	120	639	94	1	619	264	108	37
"hsa-miR-566-3p"	7	3	48	31	8	13	16	30	51	19	0	33	23	4	1
"hsa-miR-148a-5p"	37	4	64	36	11	41	38	18	63	10	3	57	43	37	7
"hsa-miR-194-1-5p"	6	4	29	109	12	2	7	7	26	16	0	30	18	1	1
"hsa-let-7a-1-5p"	471	102	1659	1460	447	560	582	579	2351	282	29	896	1459	284	77
"hsa-miR-548h-3-5p"	11	6	15	14	1	2	26	7	6	6	0	10	12	6	3
"hsa-let-7a-3-5p"	472	103	1673	1466	450	567	584	582	2372	287	29	907	1458	290	77
"hsa-miR-210-3p"	69	8	74	216	14	12	104	39	62	26	0	202	217	19	3
"hsa-miR-181a-2-3p"	3	2	28	19	5	4	19	5	25	7	0	26	36	4	1
"hsa-miR-29b-2-3p"	13	1	14	75	3	9	6	8	8	5	0	19	19	9	2
"hsa-miR-548k-5p"	22	6	28	31	10	12	25	16	45	7	1	17	18	14	2
"hsa-miR-99a-5p"	2873	399	3753	2679	511	2001	6091	1049	6390	839	18	10562	3625	605	419
"hsa-miR-566-5p"	1	1	9	4	2	0	1	4	3	11	0	11	12	6	0
"hsa-miR-16-2-3p"	348	50	780	581	207	169	591	267	802	180	3	841	779	238	50
"hsa-miR-151a-3p"	497	117	901	1402	273	424	648	409	1124	373	19	1401	750	297	32
"hsa-miR-125b-1-5p"	106	14	302	489	23	82	144	72	257	74	5	565	460	16	7
"hsa-miR-324-5p"	11	3	2	25	3	8	17	5	10	10	0	11	21	6	0
"hsa-miR-221-5p"	17	0	44	61	10	16	16	9	35	3	0	25	33	18	1
"hsa-miR-3177-3p"	28	5	13	21	5	8	34	9	18	6	0	22	22	15	3
"hsa-miR-877-5p"	11	2	10	24	6	10	11	3	17	2	2	8	6	5	1
"hsa-miR-140-5p"	29	6	87	161	32	4	37	52	78	47	1	231	204	13	1
"hsa-miR-4421-3p"	7	3	3	11	5	0	5	3	4	3	0	10	15	2	0
"hsa-miR-199b-3p"	11	4	56	47	9	5	19	18	64	15	0	54	48	5	1
"hsa-miR-450b-5p"	102	7	99	210	17	24	190	35	106	43	0	306	190	35	3
"hsa-miR-30c-2-5p"	288	18	1785	996	370	191	356	361	1383	171	23	650	884	189	20
"hsa-miR-744-5p"	86	12	328	501	90	45	74	110	348	87	1	318	361	30	7
"hsa-miR-107-3p"	463	37	1027	1495	165	110	772	188	646	205	9	2050	1596	115	24
"hsa-let-7d-5p"	11	4	52	48	7	29	12	12	54	1	0	6	39	7	3
"hsa-miR-548d-2-5p"	16	0	28	52	8	3	25	34	36	28	0	67	38	18	1
"hsa-miR-26b-5p"	154	38	809	755	199	156	165	307	768	174	15	497	686	164	35
"hsa-miR-548ae-2-5p"	10	0	20	36	2	4	13	19	19	18	0	43	28	11	0
"hsa-miR-378a-3p"	4251	791	3971	7781	1629	1464	5650	3194	6110	2834	50	12218	6997	2796	178
"hsa-miR-378a-5p"	28	2	22	64	9	8	25	13	23	14	0	82	37	7	1
"hsa-miR-181b-2-5p"	276	42	414	512	147	129	412	245	449	202	3	891	613	144	13
"hsa-miR-181a-2-5p"	258	45	534	606	154	191	488	287	648	185	9	726	609	228	35
"hsa-miR-1306-3p"	51	10	18	62	0	7	93	5	38	10	1	56	68	12	2
"hsa-miR-26a-1-5p"	1655	219	4519	3775	952	1134	1810	1490	4557	659	90	2348	3617	630	153
"hsa-miR-30e-3p"	78	23	169	168	44	70	183	56	221	27	0	84	109	104	12
