,FCval.cut,Freq,,,
56,"[-12.25,-12.2)",0,,-12.25,0
57,"[-12.2,-12.15)",0,,-12.2,0
58,"[-12.15,-12.1)",0,,-12.15,0
59,"[-12.1,-12.05)",0,,-12.1,0
60,"[-12.05,-12)",0,,-12.05,0
61,"[-12,-11.95)",0,,-12,0
62,"[-11.95,-11.9)",0,,-11.95,0
63,"[-11.9,-11.85)",0,,-11.9,0
64,"[-11.85,-11.8)",0,,-11.85,0
65,"[-11.8,-11.75)",0,,-11.8,0
66,"[-11.75,-11.7)",0,,-11.75,0
67,"[-11.7,-11.65)",0,,-11.7,0
68,"[-11.65,-11.6)",0,,-11.65,0
69,"[-11.6,-11.55)",0,,-11.6,0
70,"[-11.55,-11.5)",0,,-11.55,0
71,"[-11.5,-11.45)",0,,-11.5,0
72,"[-11.45,-11.4)",0,,-11.45,0
73,"[-11.4,-11.35)",0,,-11.4,0
74,"[-11.35,-11.3)",0,,-11.35,0
75,"[-11.3,-11.25)",0,,-11.3,0
76,"[-11.25,-11.2)",0,,-11.25,0
77,"[-11.2,-11.15)",0,,-11.2,0
78,"[-11.15,-11.1)",0,,-11.15,0
79,"[-11.1,-11.05)",0,,-11.1,0
80,"[-11.05,-11)",0,,-11.05,0
81,"[-11,-10.95)",0,,-11,0
82,"[-10.95,-10.9)",0,,-10.95,0
83,"[-10.9,-10.85)",0,,-10.9,0
84,"[-10.85,-10.8)",0,,-10.85,0
85,"[-10.8,-10.75)",1,,-10.8,1
86,"[-10.75,-10.7)",0,,-10.75,0
87,"[-10.7,-10.65)",0,,-10.7,0
88,"[-10.65,-10.6)",0,,-10.65,0
89,"[-10.6,-10.55)",0,,-10.6,0
90,"[-10.55,-10.5)",0,,-10.55,0
91,"[-10.5,-10.45)",0,,-10.5,0
92,"[-10.45,-10.4)",0,,-10.45,0
93,"[-10.4,-10.35)",0,,-10.4,0
94,"[-10.35,-10.3)",0,,-10.35,0
95,"[-10.3,-10.25)",0,,-10.3,0
96,"[-10.25,-10.2)",0,,-10.25,0
97,"[-10.2,-10.15)",0,,-10.2,0
98,"[-10.15,-10.1)",0,,-10.15,0
99,"[-10.1,-10.05)",0,,-10.1,0
100,"[-10.05,-10)",0,,-10.05,0
101,"[-10,-9.95)",0,,-10,0
102,"[-9.95,-9.9)",0,,-9.95,0
103,"[-9.9,-9.85)",0,,-9.9,0
104,"[-9.85,-9.8)",0,,-9.85,0
105,"[-9.8,-9.75)",0,,-9.8,0
106,"[-9.75,-9.7)",0,,-9.75,0
107,"[-9.7,-9.65)",0,,-9.7,0
108,"[-9.65,-9.6)",0,,-9.65,0
109,"[-9.6,-9.55)",0,,-9.6,0
110,"[-9.55,-9.5)",0,,-9.55,0
111,"[-9.5,-9.45)",0,,-9.5,0
112,"[-9.45,-9.4)",0,,-9.45,0
113,"[-9.4,-9.35)",0,,-9.4,0
114,"[-9.35,-9.3)",0,,-9.35,0
115,"[-9.3,-9.25)",0,,-9.3,0
116,"[-9.25,-9.2)",0,,-9.25,0
117,"[-9.2,-9.15)",0,,-9.2,0
118,"[-9.15,-9.1)",0,,-9.15,0
119,"[-9.1,-9.05)",0,,-9.1,0
120,"[-9.05,-9)",0,,-9.05,0
121,"[-9,-8.95)",0,,-9,0
122,"[-8.95,-8.9)",0,,-8.95,0
123,"[-8.9,-8.85)",0,,-8.9,0
124,"[-8.85,-8.8)",0,,-8.85,0
125,"[-8.8,-8.75)",0,,-8.8,0
126,"[-8.75,-8.7)",0,,-8.75,0
127,"[-8.7,-8.65)",0,,-8.7,0
128,"[-8.65,-8.6)",0,,-8.65,0
129,"[-8.6,-8.55)",0,,-8.6,0
130,"[-8.55,-8.5)",0,,-8.55,0
131,"[-8.5,-8.45)",0,,-8.5,0
132,"[-8.45,-8.4)",0,,-8.45,0
133,"[-8.4,-8.35)",1,,-8.4,1
134,"[-8.35,-8.3)",0,,-8.35,0
135,"[-8.3,-8.25)",0,,-8.3,0
136,"[-8.25,-8.2)",0,,-8.25,0
137,"[-8.2,-8.15)",0,,-8.2,0
138,"[-8.15,-8.1)",0,,-8.15,0
139,"[-8.1,-8.05)",0,,-8.1,0
140,"[-8.05,-8)",0,,-8.05,0
141,"[-8,-7.95)",0,,-8,0
142,"[-7.95,-7.9)",0,,-7.95,0
143,"[-7.9,-7.85)",1,,-7.9,1
144,"[-7.85,-7.8)",0,,-7.85,0
145,"[-7.8,-7.75)",0,,-7.8,0
146,"[-7.75,-7.7)",0,,-7.75,0
147,"[-7.7,-7.65)",0,,-7.7,0
148,"[-7.65,-7.6)",0,,-7.65,0
149,"[-7.6,-7.55)",0,,-7.6,0
150,"[-7.55,-7.5)",0,,-7.55,0
151,"[-7.5,-7.45)",0,,-7.5,0
152,"[-7.45,-7.4)",0,,-7.45,0
153,"[-7.4,-7.35)",0,,-7.4,0
154,"[-7.35,-7.3)",0,,-7.35,0
155,"[-7.3,-7.25)",0,,-7.3,0
156,"[-7.25,-7.2)",0,,-7.25,0
157,"[-7.2,-7.15)",0,,-7.2,0
158,"[-7.15,-7.1)",0,,-7.15,0
159,"[-7.1,-7.05)",0,,-7.1,0
160,"[-7.05,-7)",0,,-7.05,0
161,"[-7,-6.95)",0,,-7,0
162,"[-6.95,-6.9)",0,,-6.95,0
163,"[-6.9,-6.85)",0,,-6.9,0
164,"[-6.85,-6.8)",0,,-6.85,0
165,"[-6.8,-6.75)",1,,-6.8,1
166,"[-6.75,-6.7)",0,,-6.75,0
167,"[-6.7,-6.65)",0,,-6.7,0
168,"[-6.65,-6.6)",0,,-6.65,0
169,"[-6.6,-6.55)",0,,-6.6,0
170,"[-6.55,-6.5)",0,,-6.55,0
171,"[-6.5,-6.45)",0,,-6.5,0
172,"[-6.45,-6.4)",0,,-6.45,0
173,"[-6.4,-6.35)",0,,-6.4,0
174,"[-6.35,-6.3)",0,,-6.35,0
175,"[-6.3,-6.25)",0,,-6.3,0
176,"[-6.25,-6.2)",0,,-6.25,0
177,"[-6.2,-6.15)",0,,-6.2,0
178,"[-6.15,-6.1)",0,,-6.15,0
179,"[-6.1,-6.05)",0,,-6.1,0
180,"[-6.05,-6)",0,,-6.05,0
181,"[-6,-5.95)",0,,-6,0
182,"[-5.95,-5.9)",0,,-5.95,0
183,"[-5.9,-5.85)",0,,-5.9,0
184,"[-5.85,-5.8)",0,,-5.85,0
185,"[-5.8,-5.75)",0,,-5.8,0
186,"[-5.75,-5.7)",0,,-5.75,0
187,"[-5.7,-5.65)",0,,-5.7,0
188,"[-5.65,-5.6)",0,,-5.65,0
189,"[-5.6,-5.55)",0,,-5.6,0
190,"[-5.55,-5.5)",0,,-5.55,0
191,"[-5.5,-5.45)",1,,-5.5,1
192,"[-5.45,-5.4)",0,,-5.45,0
193,"[-5.4,-5.35)",0,,-5.4,0
194,"[-5.35,-5.3)",0,,-5.35,0
195,"[-5.3,-5.25)",0,,-5.3,0
196,"[-5.25,-5.2)",0,,-5.25,0
197,"[-5.2,-5.15)",0,,-5.2,0
198,"[-5.15,-5.1)",0,,-5.15,0
199,"[-5.1,-5.05)",0,,-5.1,0
200,"[-5.05,-5)",0,,-5.05,0
201,"[-5,-4.95)",0,,-5,0
202,"[-4.95,-4.9)",0,,-4.95,0
203,"[-4.9,-4.85)",0,,-4.9,0
204,"[-4.85,-4.8)",0,,-4.85,0
205,"[-4.8,-4.75)",0,,-4.8,0
206,"[-4.75,-4.7)",0,,-4.75,0
207,"[-4.7,-4.65)",0,,-4.7,0
208,"[-4.65,-4.6)",0,,-4.65,0
209,"[-4.6,-4.55)",0,,-4.6,0
210,"[-4.55,-4.5)",0,,-4.55,0
211,"[-4.5,-4.45)",0,,-4.5,0
212,"[-4.45,-4.4)",0,,-4.45,0
213,"[-4.4,-4.35)",0,,-4.4,0
214,"[-4.35,-4.3)",0,,-4.35,0
215,"[-4.3,-4.25)",0,,-4.3,0
216,"[-4.25,-4.2)",0,,-4.25,0
217,"[-4.2,-4.15)",0,,-4.2,0
218,"[-4.15,-4.1)",0,,-4.15,0
219,"[-4.1,-4.05)",0,,-4.1,0
220,"[-4.05,-4)",0,,-4.05,0
221,"[-4,-3.95)",0,,-4,0
222,"[-3.95,-3.9)",0,,-3.95,0
223,"[-3.9,-3.85)",0,,-3.9,0
224,"[-3.85,-3.8)",0,,-3.85,0
225,"[-3.8,-3.75)",0,,-3.8,0
226,"[-3.75,-3.7)",0,,-3.75,0
227,"[-3.7,-3.65)",1,,-3.7,1
228,"[-3.65,-3.6)",0,,-3.65,0
229,"[-3.6,-3.55)",0,,-3.6,0
230,"[-3.55,-3.5)",0,,-3.55,0
231,"[-3.5,-3.45)",1,,-3.5,1
232,"[-3.45,-3.4)",0,,-3.45,0
233,"[-3.4,-3.35)",0,,-3.4,0
234,"[-3.35,-3.3)",0,,-3.35,0
235,"[-3.3,-3.25)",0,,-3.3,0
236,"[-3.25,-3.2)",0,,-3.25,0
237,"[-3.2,-3.15)",0,,-3.2,0
238,"[-3.15,-3.1)",0,,-3.15,0
239,"[-3.1,-3.05)",0,,-3.1,0
240,"[-3.05,-3)",0,,-3.05,0
241,"[-3,-2.95)",0,,-3,0
242,"[-2.95,-2.9)",0,,-2.95,0
243,"[-2.9,-2.85)",0,,-2.9,0
244,"[-2.85,-2.8)",0,,-2.85,0
245,"[-2.8,-2.75)",0,,-2.8,0
246,"[-2.75,-2.7)",0,,-2.75,0
247,"[-2.7,-2.65)",0,,-2.7,0
248,"[-2.65,-2.6)",0,,-2.65,0
249,"[-2.6,-2.55)",0,,-2.6,0
250,"[-2.55,-2.5)",0,,-2.55,0
251,"[-2.5,-2.45)",0,,-2.5,0
252,"[-2.45,-2.4)",0,,-2.45,0
253,"[-2.4,-2.35)",0,,-2.4,0
254,"[-2.35,-2.3)",1,,-2.35,1
255,"[-2.3,-2.25)",0,,-2.3,0
256,"[-2.25,-2.2)",1,,-2.25,1
257,"[-2.2,-2.15)",0,,-2.2,0
258,"[-2.15,-2.1)",0,,-2.15,0
259,"[-2.1,-2.05)",0,,-2.1,0
260,"[-2.05,-2)",0,,-2.05,0
261,"[-2,-1.95)",0,,-2,0
262,"[-1.95,-1.9)",0,,-1.95,0
263,"[-1.9,-1.85)",1,,-1.9,1
264,"[-1.85,-1.8)",0,,-1.85,0
265,"[-1.8,-1.75)",0,,-1.8,0
266,"[-1.75,-1.7)",1,,-1.75,1
267,"[-1.7,-1.65)",2,,-1.7,2
268,"[-1.65,-1.6)",1,,-1.65,1
269,"[-1.6,-1.55)",0,,-1.6,0
270,"[-1.55,-1.5)",0,,-1.55,0
271,"[-1.5,-1.45)",0,,-1.5,0
272,"[-1.45,-1.4)",0,,-1.45,0
273,"[-1.4,-1.35)",0,,-1.4,0
274,"[-1.35,-1.3)",0,,-1.35,0
275,"[-1.3,-1.25)",0,,-1.3,0
276,"[-1.25,-1.2)",0,,-1.25,0
277,"[-1.2,-1.15)",3,,-1.2,3
278,"[-1.15,-1.1)",0,,-1.15,0
279,"[-1.1,-1.05)",0,,-1.1,0
280,"[-1.05,-1)",0,,-1.05,0
281,"[-1,-0.95)",1,,-1,1
282,"[-0.95,-0.9)",0,,-0.95,0
283,"[-0.9,-0.85)",0,,-0.9,0
284,"[-0.85,-0.8)",1,,-0.85,1
285,"[-0.8,-0.75)",0,,-0.8,0
286,"[-0.75,-0.7)",1,,-0.75,1
287,"[-0.7,-0.65)",1,,-0.7,1
288,"[-0.65,-0.6)",1,,-0.65,1
289,"[-0.6,-0.55)",0,,-0.6,0
290,"[-0.55,-0.5)",0,,-0.55,0
291,"[-0.5,-0.45)",0,,-0.5,0
292,"[-0.45,-0.4)",0,,-0.45,0
293,"[-0.4,-0.35)",0,,-0.4,0
294,"[-0.35,-0.3)",0,,-0.35,0
295,"[-0.3,-0.25)",0,,-0.3,0
296,"[-0.25,-0.2)",1,,-0.25,1
297,"[-0.2,-0.15)",0,,-0.2,0
298,"[-0.15,-0.1)",0,,-0.15,0
299,"[-0.1,-0.05)",2,,-0.1,2
300,"[-0.05,0)",0,,-0.05,0
301,"[0,0.05)",0,,2.00728E-13,0
302,"[0.05,0.1)",1,,0.05,1
303,"[0.1,0.15)",0,,0.1,0
304,"[0.15,0.2)",0,,0.15,0
305,"[0.2,0.25)",0,,0.2,0
306,"[0.25,0.3)",0,,0.25,0
307,"[0.3,0.35)",2,,0.3,2
308,"[0.35,0.4)",1,,0.35,1
309,"[0.4,0.45)",1,,0.4,1
310,"[0.45,0.5)",0,,0.45,0
311,"[0.5,0.55)",1,,0.5,1
312,"[0.55,0.6)",1,,0.55,1
313,"[0.6,0.65)",3,,0.6,3
314,"[0.65,0.7)",5,,0.65,5
315,"[0.7,0.75)",3,,0.7,3
316,"[0.75,0.8)",1,,0.75,1
317,"[0.8,0.85)",0,,0.8,0
318,"[0.85,0.9)",1,,0.85,1
319,"[0.9,0.95)",0,,0.9,0
320,"[0.95,1)",2,,0.95,2
321,"[1,1.05)",1,,1,1
322,"[1.05,1.1)",0,,1.05,0
323,"[1.1,1.15)",0,,1.1,0
324,"[1.15,1.2)",2,,1.15,2
325,"[1.2,1.25)",1,,1.2,1
326,"[1.25,1.3)",0,,1.25,0
327,"[1.3,1.35)",0,,1.3,0
328,"[1.35,1.4)",1,,1.35,1
329,"[1.4,1.45)",0,,1.4,0
330,"[1.45,1.5)",1,,1.45,1
331,"[1.5,1.55)",2,,1.5,2
332,"[1.55,1.6)",0,,1.55,0
333,"[1.6,1.65)",1,,1.6,1
334,"[1.65,1.7)",0,,1.65,0
335,"[1.7,1.75)",0,,1.7,0
336,"[1.75,1.8)",2,,1.75,2
337,"[1.8,1.85)",2,,1.8,2
338,"[1.85,1.9)",0,,1.85,0
339,"[1.9,1.95)",1,,1.9,1
340,"[1.95,2)",0,,1.95,0
341,"[2,2.05)",0,,2,0
342,"[2.05,2.1)",0,,2.05,0
343,"[2.1,2.15)",0,,2.1,0
344,"[2.15,2.2)",0,,2.15,0
345,"[2.2,2.25)",0,,2.2,0
346,"[2.25,2.3)",0,,2.25,0
347,"[2.3,2.35)",0,,2.3,0
348,"[2.35,2.4)",0,,2.35,0
349,"[2.4,2.45)",0,,2.4,0
350,"[2.45,2.5)",0,,2.45,0
351,"[2.5,2.55)",0,,2.5,0
352,"[2.55,2.6)",0,,2.55,0
353,"[2.6,2.65)",1,,2.6,1
354,"[2.65,2.7)",0,,2.65,0
355,"[2.7,2.75)",0,,2.7,0
356,"[2.75,2.8)",0,,2.75,0
357,"[2.8,2.85)",0,,2.8,0
358,"[2.85,2.9)",1,,2.85,1
359,"[2.9,2.95)",0,,2.9,0
360,"[2.95,3)",0,,2.95,0
361,"[3,3.05)",0,,3,0
362,"[3.05,3.1)",0,,3.05,0
363,"[3.1,3.15)",0,,3.1,0
364,"[3.15,3.2)",0,,3.15,0
365,"[3.2,3.25)",0,,3.2,0
366,"[3.25,3.3)",0,,3.25,0
367,"[3.3,3.35)",0,,3.3,0
368,"[3.35,3.4)",0,,3.35,0
369,"[3.4,3.45)",1,,3.4,1
370,"[3.45,3.5)",0,,3.45,0
371,"[3.5,3.55)",1,,3.5,1
372,"[3.55,3.6)",0,,3.55,0
373,"[3.6,3.65)",0,,3.6,0
374,"[3.65,3.7)",1,,3.65,1
375,"[3.7,3.75)",0,,3.7,0
376,"[3.75,3.8)",0,,3.75,0
377,"[3.8,3.85)",0,,3.8,0
378,"[3.85,3.9)",0,,3.85,0
379,"[3.9,3.95)",0,,3.9,0
380,"[3.95,4)",0,,3.95,0
381,"[4,4.05)",0,,4,0
382,"[4.05,4.1)",0,,4.05,0
383,"[4.1,4.15)",0,,4.1,0
384,"[4.15,4.2)",0,,4.15,0
385,"[4.2,4.25)",0,,4.2,0
386,"[4.25,4.3)",0,,4.25,0
387,"[4.3,4.35)",0,,4.3,0
388,"[4.35,4.4)",0,,4.35,0
389,"[4.4,4.45)",0,,4.4,0
390,"[4.45,4.5)",0,,4.45,0
391,"[4.5,4.55)",0,,4.5,0
392,"[4.55,4.6)",0,,4.55,0
393,"[4.6,4.65)",0,,4.6,0
394,"[4.65,4.7)",0,,4.65,0
395,"[4.7,4.75)",0,,4.7,0
396,"[4.75,4.8)",1,,4.75,1
397,"[4.8,4.85)",0,,4.8,0
398,"[4.85,4.9)",0,,4.85,0
399,"[4.9,4.95)",0,,4.9,0
400,"[4.95,5)",0,,4.95,0
401,"[5,5.05)",0,,5,0
402,"[5.05,5.1)",0,,5.05,0
403,"[5.1,5.15)",0,,5.1,0
404,"[5.15,5.2)",0,,5.15,0
405,"[5.2,5.25)",0,,5.2,0
406,"[5.25,5.3)",0,,5.25,0
407,"[5.3,5.35)",0,,5.3,0
408,"[5.35,5.4)",1,,5.35,1
409,"[5.4,5.45)",0,,5.4,0
410,"[5.45,5.5)",0,,5.45,0
411,"[5.5,5.55)",0,,5.5,0
412,"[5.55,5.6)",0,,5.55,0
413,"[5.6,5.65)",0,,5.6,0
414,"[5.65,5.7)",0,,5.65,0
415,"[5.7,5.75)",0,,5.7,0
416,"[5.75,5.8)",0,,5.75,0
417,"[5.8,5.85)",0,,5.8,0
418,"[5.85,5.9)",0,,5.85,0
419,"[5.9,5.95)",0,,5.9,0
420,"[5.95,6)",0,,5.95,0
421,"[6,6.05)",1,,6,1
422,"[6.05,6.1)",0,,6.05,0
423,"[6.1,6.15)",0,,6.1,0
424,"[6.15,6.2)",1,,6.15,1
425,"[6.2,6.25)",0,,6.2,0
426,"[6.25,6.3)",0,,6.25,0
427,"[6.3,6.35)",0,,6.3,0
428,"[6.35,6.4)",0,,6.35,0
429,"[6.4,6.45)",0,,6.4,0
430,"[6.45,6.5)",0,,6.45,0
431,"[6.5,6.55)",0,,6.5,0
432,"[6.55,6.6)",0,,6.55,0
433,"[6.6,6.65)",0,,6.6,0
434,"[6.65,6.7)",0,,6.65,0
435,"[6.7,6.75)",0,,6.7,0
436,"[6.75,6.8)",0,,6.75,0
437,"[6.8,6.85)",0,,6.8,0
438,"[6.85,6.9)",0,,6.85,0
439,"[6.9,6.95)",0,,6.9,0
440,"[6.95,7)",0,,6.95,0
441,"[7,7.05)",1,,7,1
442,"[7.05,7.1)",0,,7.05,0
443,"[7.1,7.15)",0,,7.1,0
444,"[7.15,7.2)",0,,7.15,0
445,"[7.2,7.25)",0,,7.2,0
446,"[7.25,7.3)",0,,7.25,0
447,"[7.3,7.35)",0,,7.3,0
448,"[7.35,7.4)",0,,7.35,0
449,"[7.4,7.45)",0,,7.4,0
450,"[7.45,7.5)",1,,7.45,1
451,"[7.5,7.55)",0,,7.5,0
452,"[7.55,7.6)",0,,7.55,0
453,"[7.6,7.65)",0,,7.6,0
454,"[7.65,7.7)",0,,7.65,0
455,"[7.7,7.75)",0,,7.7,0
456,"[7.75,7.8)",0,,7.75,0
457,"[7.8,7.85)",0,,7.8,0
458,"[7.85,7.9)",0,,7.85,0
459,"[7.9,7.95)",0,,7.9,0
460,"[7.95,8)",0,,7.95,0
461,"[8,8.05)",0,,8,0
462,"[8.05,8.1)",0,,8.05,0
463,"[8.1,8.15)",0,,8.1,0
464,"[8.15,8.2)",0,,8.15,0
465,"[8.2,8.25)",0,,8.2,0
466,"[8.25,8.3)",0,,8.25,0
467,"[8.3,8.35)",0,,8.3,0
468,"[8.35,8.4)",0,,8.35,0
469,"[8.4,8.45)",0,,8.4,0
470,"[8.45,8.5)",0,,8.45,0
471,"[8.5,8.55)",0,,8.5,0
472,"[8.55,8.6)",0,,8.55,0
473,"[8.6,8.65)",0,,8.6,0
474,"[8.65,8.7)",1,,8.65,1
475,"[8.7,8.75)",0,,8.7,0
476,"[8.75,8.8)",0,,8.75,0
477,"[8.8,8.85)",0,,8.8,0
478,"[8.85,8.9)",0,,8.85,0
479,"[8.9,8.95)",0,,8.9,0
480,"[8.95,9)",0,,8.95,0
481,"[9,9.05)",0,,9,0
482,"[9.05,9.1)",0,,9.05,0
483,"[9.1,9.15)",0,,9.1,0
484,"[9.15,9.2)",0,,9.15,0
485,"[9.2,9.25)",0,,9.2,0
486,"[9.25,9.3)",0,,9.25,0
487,"[9.3,9.35)",0,,9.3,0
488,"[9.35,9.4)",0,,9.35,0
489,"[9.4,9.45)",0,,9.4,0
490,"[9.45,9.5)",0,,9.45,0
491,"[9.5,9.55)",0,,9.5,0
492,"[9.55,9.6)",0,,9.55,0
493,"[9.6,9.65)",0,,9.6,0
494,"[9.65,9.7)",0,,9.65,0
495,"[9.7,9.75)",0,,9.7,0
496,"[9.75,9.8)",0,,9.75,0
497,"[9.8,9.85)",0,,9.8,0
498,"[9.85,9.9)",0,,9.85,0
499,"[9.9,9.95)",0,,9.9,0
500,"[9.95,10)",0,,9.95,0
501,"[10,10.05)",0,,10,0
502,"[10.05,10.1)",0,,10.05,0
503,"[10.1,10.15)",0,,10.1,0
504,"[10.15,10.2)",0,,10.15,0
505,"[10.2,10.25)",0,,10.2,0
506,"[10.25,10.3)",0,,10.25,0
507,"[10.3,10.35)",0,,10.3,0
508,"[10.35,10.4)",0,,10.35,0
509,"[10.4,10.45)",0,,10.4,0
510,"[10.45,10.5)",0,,10.45,0
511,"[10.5,10.55)",0,,10.5,0
512,"[10.55,10.6)",0,,10.55,0
513,"[10.6,10.65)",0,,10.6,0
514,"[10.65,10.7)",0,,10.65,0
515,"[10.7,10.75)",0,,10.7,0
516,"[10.75,10.8)",0,,10.75,0
517,"[10.8,10.85)",0,,10.8,0
518,"[10.85,10.9)",0,,10.85,0
519,"[10.9,10.95)",0,,10.9,0
520,"[10.95,11)",0,,10.95,0
521,"[11,11.05)",0,,11,0
522,"[11.05,11.1)",0,,11.05,0
523,"[11.1,11.15)",0,,11.1,0
524,"[11.15,11.2)",0,,11.15,0
525,"[11.2,11.25)",0,,11.2,0
526,"[11.25,11.3)",0,,11.25,0
527,"[11.3,11.35)",0,,11.3,0
528,"[11.35,11.4)",0,,11.35,0
529,"[11.4,11.45)",0,,11.4,0
530,"[11.45,11.5)",0,,11.45,0
531,"[11.5,11.55)",0,,11.5,0
532,"[11.55,11.6)",0,,11.55,0
533,"[11.6,11.65)",0,,11.6,0
534,"[11.65,11.7)",0,,11.65,0
535,"[11.7,11.75)",0,,11.7,0
536,"[11.75,11.8)",0,,11.75,0
537,"[11.8,11.85)",0,,11.8,0
538,"[11.85,11.9)",0,,11.85,0
539,"[11.9,11.95)",0,,11.9,0
540,"[11.95,12)",0,,11.95,0
541,"[12,12.05)",0,,12,0
542,"[12.05,12.1)",0,,12.05,0
543,"[12.1,12.15)",0,,12.1,0
544,"[12.15,12.2)",0,,12.15,0
545,"[12.2,12.25)",0,,12.2,0
546,"[12.25,12.3)",0,,12.25,0
547,"[12.3,12.35)",0,,12.3,0
548,"[12.35,12.4)",0,,12.35,0
549,"[12.4,12.45)",0,,12.4,0
550,"[12.45,12.5)",0,,12.45,0
551,"[12.5,12.55)",0,,12.5,0
552,"[12.55,12.6)",0,,12.55,0
553,"[12.6,12.65)",0,,12.6,0
554,"[12.65,12.7)",0,,12.65,0
555,"[12.7,12.75)",0,,12.7,0
556,"[12.75,12.8)",0,,12.75,0
557,"[12.8,12.85)",0,,12.8,0
558,"[12.85,12.9)",0,,12.85,0
559,"[12.9,12.95)",0,,12.9,0
560,"[12.95,13)",0,,12.95,0
561,"[13,13.05)",0,,13,0
562,"[13.05,13.1)",0,,13.05,0
563,"[13.1,13.15)",0,,13.1,0
564,"[13.15,13.2)",0,,13.15,0
565,"[13.2,13.25)",0,,13.2,0
566,"[13.25,13.3)",0,,13.25,0
567,"[13.3,13.35)",0,,13.3,0
568,"[13.35,13.4)",0,,13.35,0
569,"[13.4,13.45)",0,,13.4,0
570,"[13.45,13.5)",0,,13.45,0
571,"[13.5,13.55)",0,,13.5,0
572,"[13.55,13.6)",0,,13.55,0
573,"[13.6,13.65)",0,,13.6,0
574,"[13.65,13.7)",0,,13.65,0
575,"[13.7,13.75)",0,,13.7,0
576,"[13.75,13.8)",0,,13.75,0
577,"[13.8,13.85)",0,,13.8,0
578,"[13.85,13.9)",0,,13.85,0
579,"[13.9,13.95)",0,,13.9,0
580,"[13.95,14)",0,,13.95,0
581,"[14,14.05)",0,,14,0
582,"[14.05,14.1)",0,,14.05,0
583,"[14.1,14.15)",0,,14.1,0
584,"[14.15,14.2)",0,,14.15,0
585,"[14.2,14.25)",0,,14.2,0
586,"[14.25,14.3)",0,,14.25,0
587,"[14.3,14.35)",0,,14.3,0
588,"[14.35,14.4)",0,,14.35,0
589,"[14.4,14.45)",0,,14.4,0
590,"[14.45,14.5)",0,,14.45,0
591,"[14.5,14.55)",0,,14.5,0
592,"[14.55,14.6)",0,,14.55,0
593,"[14.6,14.65)",0,,14.6,0
594,"[14.65,14.7)",0,,14.65,0
595,"[14.7,14.75)",0,,14.7,0
596,"[14.75,14.8)",0,,14.75,0
597,"[14.8,14.85)",0,,14.8,0
598,"[14.85,14.9)",0,,14.85,0
599,"[14.9,14.95)",0,,14.9,0
600,"[14.95,15)",0,,14.95,0

