PC3_Exosome_CAV1_23.3	PC3_Exosome_CAV1_4.3	PC3_Exosome_CAV1_6.3	PC3_Exosome_CAV2_23.3	PC3_Exosome_CAV2_4.3	PC3_Exosome_CAV2_6.3	PC3_Exosome_CAV3_23.3	PC3_Exosome_CAV3_4.3	PC3_Exosome_CAV3_6.3	PC3_Exosome_GFP_23.3	PC3_Exosome_GFP_4.3	PC3_Exosome_GFP_6.3			Ex.3rd	
hsa-miR-19b-1-3p	194	235	14	228	169	264	301	54	253	566	699	115	72270.16667	61469.66667	0.078258753
hsa-miR-19b-2-3p	194	235	14	228	169	264	301	54	253	566	700	115	72428.4	61653.58333	0.079100634
hsa-miR-92a-1-5p	3	2	0	5	7	18	1	2	0	13	17	1	51.2	54.91666667	0.085374387
hsa-miR-23b-3p	613	637	6	451	447	1814	755	636	251	1053	1210	203	217362.2667	89718.25	0.09161093
hsa-let-7g-5p	6956	6368	56	5971	4651	20678	8719	4289	3064	10261	8987	1227	17094695.5	3252618	0.091772102
hsa-miR-23a-3p	3833	3230	7	4492	4067	10991	5556	4228	1267	5325	5429	747	5206434.567	1197694.25	0.095075908
hsa-miR-7641-2-3p	302	362	5	253	228	644	196	260	13161	183	207	5760	5145283.5	6952.333333	0.101356977
hsa-miR-132-3p	23	21	2	23	21	64	27	15	6	39	47	10	288.6666667	158.3333333	0.103377004
hsa-miR-20a-5p	1116	1501	232	975	894	6079	1800	424	1288	2688	3549	515	1655010.167	1240291	0.106561012
hsa-miR-345-5p	94	87	3	85	114	205	125	147	28	116	132	18	2773.6	424.9166667	0.108267704
hsa-let-7e-5p	436	523	15	439	463	1188	622	560	291	659	608	141	68404.4	9600.333333	0.119705625
hsa-miR-320a-3p	1639	2059	86	1761	4288	7346	2616	3023	888	2455	2700	595	1090944.4	216308.25	0.123445427
hsa-miR-18a-3p	9	7	1	15	11	34	10	9	2	13	13	2	27.1	9	0.125665916
hsa-miR-1301-3p	5	8	0	4	3	31	10	5	4	26	18	4	96.96666667	92.25	0.12743995
hsa-miR-301a-5p	10	8	2	9	8	29	16	21	2	20	27	2	101.5	78.91666667	0.129208723
hsa-miR-10b-5p	2027	3390	366	407	476	770	2287	1659	1405	4409	5326	2103	3242602.167	2003536.667	0.136536924
hsa-miR-30b-5p	180	203	10	177	80	103	304	84	115	258	226	19	11581.46667	1108.916667	0.136857308
hsa-miR-30a-5p	6759	6885	562	11047	10218	19202	11133	5044	4779	13730	17659	2467	42969955.87	28815904.92	0.138403733
hsa-miR-98-3p	20	33	0	31	40	37	49	16	22	61	90	14	1117.066667	968.6666667	0.140829003
hsa-miR-503-5p	200	228	4	109	222	630	287	299	70	267	317	23	16877.36667	2575.333333	0.144989758
hsa-miR-29c-3p	16	18	1	22	13	39	43	10	5	28	23	2	121.4666667	28.91666667	0.145627618
hsa-miR-378h-5p	14	17	1	12	10	47	22	7	3	12	10	1	45.36666667	8.916666667	0.148066747
hsa-miR-4791-5p	54	71	4	58	22	80	43	69	633	31	45	458	29492.3	280.9166667	0.160695649
hsa-miR-330-3p	50	50	8	57	75	185	80	41	28	74	91	15	1044.4	400.25	0.16285279
hsa-miR-98-5p	520	1310	2	996	939	3327	1736	800	507	1710	2367	232	856360.7	596708.9167	0.164493643
hsa-miR-16-1-5p	141	142	7	138	210	553	254	123	68	201	176	33	6178.666667	840.6666667	0.164986154
hsa-miR-27b-3p	9125	7133	110	6664	6354	9967	8748	9458	2140	10460	11495	1374	22989989.37	3544532.25	0.166210994
hsa-miR-130a-3p	50	29	1	36	50	204	71	97	16	61	76	7	905.0666667	391.3333333	0.166803996
hsa-miR-152-3p	56	63	3	46	71	206	77	75	37	115	89	28	1631.6	722.9166667	0.169475501
hsa-miR-502-3p	85	70	10	67	69	238	112	88	23	98	122	17	2013.6	485.5833333	0.172275605
hsa-miR-454-3p	33	47	4	41	4	42	47	10	31	56	63	10	591.5	167.5833333	0.173652966
hsa-miR-148a-5p	99	65	6	62	41	41	135	48	45	143	113	29	2723.366667	1048	0.18158968
hsa-miR-200b-3p	4834	6830	40	6446	6269	18218	9134	3732	4047	11384	8257	1779	17617967.87	7596401.583	0.186608499
hsa-miR-125b-2-3p	27	18	6	0	6	8	11	22	13	36	53	10	308.8	223	0.188082564
hsa-miR-381-3p	8	17	0	21	24	19	31	20	5	26	27	4	130.6666667	79	0.194276447
hsa-miR-10a-3p	84	43	4	43	42	361	79	85	25	98	140	13	2794.666667	1600.916667	0.199229539
hsa-miR-874-3p	9	12	4	14	8	20	10	11	2	8	5	4	10.4	8.333333333	0.2
hsa-miR-93-5p	851	950	107	1116	1130	3633	1872	672	569	1472	1159	155	299993.4667	75370	0.205232866
hsa-miR-548x-2-3p	19	11	0	16	16	15	27	17	6	22	32	0	162.8	75.33333333	0.207840237
hsa-miR-424-3p	114	163	7	67	176	284	224	224	46	571	340	29	46480	42790	0.210081514
hsa-miR-664a-3p	6	10	0	21	9	5	12	8	3	18	12	1	47.36666667	25	0.210164912
hsa-miR-7641-1-5p	45	55	1	62	47	138	66	55	104	69	58	24	633.6	97.58333333	0.212122738
hsa-miR-6131-3p	60	114	13	150	69	78	244	88	1222	160	163	227	5986.966667	2337.583333	0.220425981
hsa-miR-375-3p	1663	2578	5	400	754	706	1360	1889	923	851	1276	608	802265.1	542058	0.221518223
hsa-miR-1273g-3p	14	10	1	10	3	34	9	9	288	9	6	42	211.4666667	10.91666667	0.223432527
hsa-miR-574-3p	72	50	1	122	65	122	114	39	14	45	25	2	800.3	372.6666667	0.223536039
hsa-miR-135b-3p	1	8	1	5	3	7	11	2	0	11	14	0	35.76666667	31	0.227614586
hsa-miR-191-3p	3	3	0	7	14	6	6	9	2	7	12	0	21.36666667	18.25	0.233750123
hsa-miR-132-5p	9	3	2	10	18	6	13	10	4	11	20	5	44.66666667	49.58333333	0.239221355
hsa-miR-19a-3p	54	70	6	43	54	116	95	22	92	163	300	29	12156.26667	12747.58333	0.240649078
hsa-miR-486-1-5p	5	4	1	3	4	23	4	6	2	8	13	0	22.96666667	16.33333333	0.240759707
hsa-miR-486-2-5p	5	4	1	3	4	23	4	6	2	8	13	0	22.96666667	16.33333333	0.240759707
hsa-miR-32-5p	125	94	9	85	110	152	164	116	60	222	150	25	6369.366667	2974.916667	0.246650164
hsa-miR-4497-5p	19	10	0	14	20	60	6	23	17	3	7	3	46.8	46.25	0.247223906
hsa-miR-7641-2-5p	68	60	5	57	64	261	46	54	98	51	59	16	681.3666667	48.33333333	0.252590681
hsa-miR-16-2-3p	374	418	15	269	527	1308	575	406	225	626	973	95	123990.9667	74661.58333	0.254123368
hsa-miR-30c-1-5p	886	904	64	1109	1014	1895	1813	618	696	1779	1244	188	415664.9667	174448.9167	0.260304956
hsa-miR-30c-2-5p	886	903	64	1109	1015	1895	1811	618	696	1779	1242	187	415584.3	174595	0.261399609
hsa-miR-34a-5p	6	9	4	3	6	14	21	7	6	14	26	3	74.66666667	77.58333333	0.270323757
hsa-miR-1277-5p	3	2	0	7	13	9	15	4	9	7	4	2	5.6	4.666666667	0.272589606
hsa-miR-149-5p	86	53	3	42	54	57	84	91	12	52	20	4	1082.666667	726.25	0.282414069
hsa-miR-17-5p	522	456	101	470	417	2535	793	218	260	1391	802	125	232212.5667	181564.9167	0.28412367
hsa-miR-335-5p	18	34	1	30	34	314	46	36	36	43	83	15	834.2666667	765.6666667	0.288470369
hsa-miR-106b-5p	183	153	10	171	92	275	278	92	102	200	195	26	7530.166667	444.25	0.292749806
hsa-miR-139-5p	20	29	0	53	75	47	70	36	7	135	61	4	2573.9	2726.916667	0.293189867
hsa-miR-664a-5p	2	8	0	9	13	32	5	10	3	8	13	3	23.46666667	20.25	0.298080409
hsa-miR-193a-5p	27	25	0	31	107	555	41	60	11	35	54	14	337.3666667	174.9166667	0.299251325
hsa-miR-362-5p	21	30	5	16	14	17	44	8	19	30	42	8	202.2666667	74.25	0.305373267
hsa-miR-574-5p	139	228	2	188	231	69	254	173	96	91	115	29	6570.666667	3576.25	0.306655108
hsa-let-7b-3p	35	39	0	41	74	187	43	43	27	45	64	16	504.5666667	164.9166667	0.306803846
hsa-miR-27b-5p	5	9	0	8	12	21	13	7	2	28	13	1	107.4666667	100.9166667	0.308338494
hsa-miR-10a-5p	7928	13478	1055	5996	6763	10621	10603	6490	4929	14677	16429	5660	35669014.97	13486167.33	0.312438018
hsa-miR-429-3p	2500	3282	36	2971	3134	3788	4015	2363	2154	4351	8000	1015	7929320.667	5917100.917	0.312863672
hsa-miR-95-3p	116	145	4	138	143	142	190	113	48	157	232	32	7112.266667	2443	0.313696903
hsa-miR-3934-5p	15	17	0	9	28	21	16	13	5	20	17	4	66.16666667	4.25	0.316379445
hsa-miR-6868-3p	4	13	0	15	12	11	29	11	3	13	19	1	59.86666667	38.25	0.316379445
hsa-miR-320d-2-3p	138	128	1	149	262	582	145	322	26	73	117	17	3458	820.6666667	0.323490581
hsa-miR-320d-1-3p	138	128	1	149	262	582	145	322	24	73	117	17	3458	820.6666667	0.323490581
hsa-miR-22-5p	60	28	0	75	61	170	81	93	26	57	90	18	1077.766667	642.25	0.328041362
hsa-miR-30a-3p	397	418	14	610	780	853	461	394	129	495	749	95	72841.86667	26162.91667	0.338789673
hsa-miR-576-3p	34	38	1	22	35	58	36	29	10	42	61	13	460.3	142.9166667	0.34130509
hsa-miR-135b-5p	93	193	1	158	152	125	245	79	63	391	195	56	19220.16667	15569.33333	0.342864734
hsa-let-7f-1-3p	14	17	0	15	29	52	30	12	9	24	50	5	313.8666667	268.25	0.343340842
hsa-miR-7641-1-3p	77	144	3	73	67	254	69	83	8699	59	52	3731	2239565.467	1764.666667	0.345927543
hsa-miR-5096-3p	10	11	1	7	3	24	15	13	13	10	8	1	21.36666667	1.583333333	0.349885593
hsa-miR-4677-3p	15	17	0	10	5	12	16	15	4	15	14	1	59.06666667	1.583333333	0.349885593
hsa-let-7i-3p	12	6	0	3	5	10	12	4	3	6	3	3	16.8	14.25	0.349885593
hsa-miR-194-1-5p	14	16	0	16	23	37	43	27	7	60	25	5	460.4	456.9166667	0.3601056
hsa-miR-99b-3p	370	518	8	364	563	630	608	566	158	498	609	89	60536.66667	9700.916667	0.366127322
hsa-miR-3182-5p	368	303	14	358	246	360	505	182	2395	676	402	745	70538	27020.91667	0.367574501
hsa-miR-148a-3p	15585	24884	1164	8698	17909	16797	23732	19698	8619	31224	75788	20388	647172878.6	714401153.6	0.367901369
hsa-miR-320c-2-3p	184	179	4	188	359	742	186	388	43	101	165	29	6227.866667	1470.916667	0.370072954
hsa-miR-130b-5p	32	37	6	17	35	126	51	33	7	41	36	8	240.6666667	13.66666667	0.375304952
hsa-miR-3065-5p	30	19	0	21	12	33	47	16	14	28	46	5	291.0666667	126.25	0.378511499
hsa-miR-1307-3p	310	387	16	383	1191	662	436	591	102	542	378	83	39777.2	9614.916667	0.384076024
hsa-miR-205-5p	5773	4835	29	4195	3973	4600	5233	2743	2251	10000	6079	1034	13277048.4	5203334.25	0.386894624
hsa-miR-148b-5p	57	66	3	54	59	33	95	50	22	91	66	9	1224.266667	214	0.387936951
hsa-miR-31-5p	306	326	7	293	228	1241	446	174	115	487	345	35	35874.8	6760.666667	0.389550923
hsa-miR-185-5p	163	131	14	134	162	1169	234	153	43	208	156	19	6461.366667	1029.666667	0.39008666
hsa-miR-4324-3p	6	2	0	5	7	27	13	5	3	10	5	1	14	10.91666667	0.393051938
hsa-miR-4470-3p	5	3	0	3	15	11	9	6	3	5	11	5	12.96666667	12	0.395870342
hsa-miR-126-5p	23	35	2	14	9	25	14	22	8	33	41	7	252.7	56	0.396986411
hsa-miR-181a-1-3p	34	37	0	38	38	23	58	45	18	64	40	7	549.8666667	188.25	0.397601737
hsa-miR-450a-1-5p	142	256	11	54	76	68	178	147	65	228	335	29	16774.16667	6342.916667	0.402312011
hsa-miR-499a-5p	21	27	1	20	26	87	35	21	16	30	65	10	488.6666667	394.25	0.402764053
hsa-miR-324-5p	12	15	1	14	13	10	20	10	5	16	31	0	129.9	72.33333333	0.403490208
hsa-miR-450a-2-5p	142	257	11	54	76	68	178	146	65	229	334	29	16767.6	6283	0.403505493
hsa-miR-7704-5p	17	5	0	8	10	29	4	7	2	2	4	1	38.96666667	46	0.405221079
hsa-miR-935-3p	7	7	0	7	7	11	7	15	0	21	9	1	56.7	45.33333333	0.409665529
hsa-miR-196a-1-5p	156	201	2	68	180	479	206	204	56	188	243	27	9722.966667	1298	0.410704328
hsa-miR-100-5p	241103	373477	720	291642	315309	185841	374914	246024	94823	252488	195796	40126	19656662031	5760673091	0.412267929
hsa-miR-196a-2-5p	178	207	2	74	185	503	217	220	56	200	260	28	11063.36667	1208.916667	0.413390692
hsa-let-7a-2-5p	8128	11312	79	7739	11771	42995	12142	11166	6273	10364	14683	2102	31693930.8	7418473.583	0.413802861
hsa-miR-30e-5p	1454	1588	140	958	1001	2772	1871	780	1564	1709	2977	523	995477.1	496191.3333	0.416451205
hsa-miR-181d-5p	148	243	4	152	268	517	214	200	152	218	432	83	21988.4	14726.91667	0.424978803
hsa-miR-15a-5p	6	12	1	8	2	26	20	5	9	10	18	3	39.46666667	25	0.429621609
hsa-let-7e-3p	13	6	1	9	18	25	12	20	6	17	11	3	38.3	20.91666667	0.433978307
hsa-miR-340-3p	14	28	1	13	19	13	40	30	7	42	23	2	252.2666667	136.9166667	0.440188087
hsa-miR-194-2-5p	30	21	0	30	42	82	73	43	12	108	33	6	1519.2	1626	0.440248313
hsa-miR-200b-5p	51	33	1	53	93	384	89	60	21	106	47	12	1372.666667	1030.916667	0.440764338
hsa-miR-548k-5p	29	25	1	17	28	25	28	28	11	28	41	3	250.5666667	49.58333333	0.445164974
hsa-miR-671-5p	7	4	0	5	14	31	9	6	5	13	6	0	24	15	0.445191968
hsa-miR-543-3p	3	0	0	2	8	16	5	22	2	2	5	1	3.766666667	4.333333333	0.445299804
hsa-miR-378a-5p	15	27	2	16	27	44	33	17	10	24	32	4	154.2666667	51	0.446753432
hsa-miR-15b-5p	69	43	5	67	64	148	127	49	20	132	61	8	2198	1499.583333	0.447001477
hsa-miR-140-5p	7	8	1	13	16	24	9	10	5	8	14	3	20.56666667	10.25	0.447543736
hsa-let-7a-2-3p	13	12	0	32	33	34	32	23	8	19	13	0	60.3	10.25	0.447543736
hsa-miR-374a-5p	58	87	2	58	52	50	130	59	35	103	78	6	1814.666667	352.3333333	0.448191695
hsa-miR-22-3p	5205	4541	35	4566	8603	23316	6652	7382	1973	5004	7242	1628	6918211.5	1429090	0.456436695
hsa-miR-30d-5p	4438	4601	329	6065	6856	11251	10079	5068	2253	10813	4943	954	13978787.87	9507085.583	0.457120225
hsa-miR-103a-2-3p	1815	1831	134	1976	1465	9925	3444	967	1046	3604	1943	370	1578747.767	761012.9167	0.457157969
hsa-miR-26a-1-5p	7067	5257	278	2631	2399	6173	4963	2910	2447	7484	6846	1668	9397870.267	949193.6667	0.457272498
hsa-miR-26a-2-5p	7068	5256	278	2631	2399	6173	4964	2910	2449	7484	6848	1668	9400258.8	950645.3333	0.457350324
hsa-miR-18a-5p	30	15	8	27	16	42	43	14	10	54	24	3	339.4666667	278.25	0.459109108
hsa-miR-542-3p	99	162	5	27	50	88	71	80	63	137	280	26	10026.96667	6097.666667	0.461442895
hsa-miR-103a-1-3p	1756	1765	126	1911	1389	9319	3311	940	1001	3443	1852	341	1450544.567	684150	0.465408375
hsa-miR-181c-3p	35	15	1	24	19	30	27	31	4	35	37	6	261.5	107.6666667	0.468477519
hsa-miR-200a-3p	5571	8297	52	4945	5032	11068	7178	4409	8882	7541	23228	5319	61555473.87	66055824.25	0.472975378
hsa-miR-378e-3p	91	47	1	52	65	88	67	84	14	40	51	7	1075.9	526.9166667	0.473052291
hsa-miR-651-5p	59	200	0	20	14	32	54	42	53	32	78	16	5228.166667	5516.25	0.474182801
hsa-miR-769-5p	183	185	32	156	133	140	218	115	47	131	182	29	5620.666667	686.25	0.475800277
hsa-let-7a-3-3p	192	250	4	173	210	689	216	228	130	230	511	77	30609.46667	21170.91667	0.47589183
hsa-let-7a-1-3p	193	250	4	173	210	688	216	228	130	230	511	77	30602.16667	21102	0.477111628
hsa-miR-126-3p	78	65	3	95	113	272	129	75	23	188	74	6	4521.6	3374.25	0.484911753
hsa-miR-146a-5p	91	288	3	13	44	243	182	228	145	199	993	194	126709.8667	166621.5833	0.487115429
hsa-miR-107-3p	209	164	20	115	128	892	256	114	131	188	345	47	13953.36667	6579	0.487503352
hsa-miR-320b-2-3p	631	767	27	578	1576	2194	837	1219	307	703	1189	222	171394.5667	62785	0.48856989
hsa-miR-192-5p	931	591	18	429	427	570	743	657	214	918	955	137	177893.4667	29761.58333	0.488588759
hsa-let-7a-3-5p	7746	10655	72	7173	10966	40299	11137	10675	5833	9278	13651	1947	27313463.77	6306133.667	0.490913309
hsa-let-7a-1-5p	7735	10642	70	7159	10944	40246	11111	10661	5820	9265	13617	1944	27207450.17	6256344.25	0.491281207
hsa-miR-141-3p	92	98	0	68	89	119	112	74	129	96	253	56	7084.966667	6220.916667	0.495813277
hsa-miR-1224-5p	6	5	0	11	10	12	10	26	2	6	6	0	8.966666667	0.25	0.5
hsa-miR-1303-5p	4	4	0	7	2	16	12	5	17	13	4	1	21.06666667	20.25	0.5
hsa-miR-4448-3p	16	17	1	12	16	13	47	13	166	16	41	44	276.3	152.3333333	0.512836576
hsa-miR-200a-5p	516	604	2	701	719	497	778	520	153	872	551	138	102871.3667	26114.91667	0.513367788
hsa-miR-210-3p	166	129	2	290	251	325	352	152	86	148	95	14	4834.666667	921.6666667	0.514066818
hsa-miR-99b-5p	3026	3840	111	3280	4674	6211	5267	4113	1067	5082	3381	597	3732932.567	805200.25	0.514766606
hsa-let-7f-2-3p	36	65	1	31	32	57	36	28	37	48	117	20	1637.366667	1275	0.517917502
hsa-miR-877-5p	15	10	1	29	31	31	28	18	6	17	13	2	45.46666667	8.916666667	0.520019215
hsa-miR-21-5p	306357	378924	1801	540466	379227	256477	523132	239208	158654	491950	336367	69162	35781987161	6616948004	0.521770179
hsa-miR-24-2-5p	138	99	0	298	356	317	440	226	44	351	108	9	16190.7	14202	0.52674684
hsa-miR-450b-5p	117	224	6	33	43	91	88	102	50	156	441	35	24840.56667	20907	0.528685893
hsa-miR-129-2-5p	7	13	0	14	50	43	15	27	6	8	50	1	348.5666667	420.3333333	0.530232337
hsa-miR-129-1-5p	7	13	0	14	50	43	15	27	6	8	50	1	348.5666667	420.3333333	0.530232337
hsa-miR-615-3p	109	83	7	19	63	147	45	132	16	62	97	11	1899.9	407.5833333	0.533784456
hsa-miR-454-5p	19	15	1	6	16	42	22	13	12	16	34	1	153.4666667	78	0.534254536
hsa-let-7d-3p	151	154	2	109	157	869	128	159	55	145	286	41	9976.566667	4638	0.53569057
hsa-miR-27a-3p	17217	8971	34	15895	18330	20584	21857	21624	3853	18691	14732	2064	62576741.37	18307134.92	0.538350982
hsa-miR-425-5p	367	682	11	510	615	505	1099	347	286	916	511	96	119469.1	55782	0.541988065
hsa-miR-660-5p	64	151	4	49	47	179	104	53	147	87	373	101	16482.4	19896.25	0.544962652
hsa-miR-582-3p	16	35	2	25	36	15	42	22	13	21	14	1	160.5666667	89.66666667	0.550356374
hsa-miR-320c-1-3p	268	252	7	225	521	1052	238	571	61	139	270	43	13941.36667	3929.583333	0.551501477
hsa-miR-93-3p	6	14	4	4	11	28	12	4	2	10	2	0	27.2	26.66666667	0.552786405
hsa-miR-125a-5p	618	666	27	610	901	3039	1035	688	480	1458	569	264	236605.8667	178108.25	0.556602801
hsa-miR-548ae-2-5p	2	7	0	2	2	11	3	5	1	4	11	0	18.8	15.33333333	0.564185167
hsa-miR-30d-3p	18	36	2	28	32	25	28	27	8	25	51	4	356.6666667	207	0.566213289
hsa-miR-96-5p	161	279	6	335	395	447	500	180	178	306	232	45	15361.9	4033.666667	0.566268387
hsa-miR-1307-5p	111	55	1	81	87	97	69	89	13	59	62	11	1578.566667	692.9166667	0.568887393
hsa-miR-9-3-5p	76	65	18	35	40	37	127	44	42	66	109	9	1406.966667	424.6666667	0.571491562
hsa-miR-9-2-5p	76	65	18	35	40	37	127	44	42	66	109	9	1406.966667	424.6666667	0.571491562
hsa-miR-9-1-5p	76	65	18	35	40	37	127	44	42	66	109	9	1406.966667	424.6666667	0.571491562
hsa-miR-1285-1-3p	5	15	0	7	11	21	5	9	0	1	10	2	34.7	36.91666667	0.573058114
hsa-miR-92b-3p	232	224	2	250	359	717	271	324	109	217	320	45	15050.26667	2325.583333	0.575418127
hsa-miR-455-5p	22	87	3	25	28	12	91	31	28	95	64	9	1639.466667	1072.666667	0.582701705
hsa-miR-590-3p	14	27	0	10	4	10	12	6	7	5	22	5	114.1666667	92.66666667	0.584154559
hsa-miR-122-5p	56	362	5	71	707	1246	142	454	61	104	960	221	125850.2667	172505	0.586204489
hsa-miR-92a-1-3p	4015	4468	517	1781	2838	11667	2534	2037	1619	3587	8993	1857	8398155.367	6303791.583	0.586792578
hsa-miR-4419a-5p	5	8	1	8	26	34	6	3	18	17	5	3	31.9	32.25	0.588295028
hsa-miR-1287-5p	41	17	0	14	21	35	26	32	11	17	23	3	219.3666667	129	0.588295028
hsa-miR-92a-2-3p	3994	4435	516	1771	2833	11627	2517	2023	1610	3550	8934	1838	8291813.767	6233908.25	0.58872069
hsa-miR-1246-5p	3607	1637	171	515	1823	3948	699	2320	1231	987	2628	356	1808783.067	1316766.917	0.592042995
hsa-miR-760-3p	15	35	1	19	38	71	27	64	11	19	65	6	551.9	515.6666667	0.594312817
hsa-miR-320e-3p	63	43	0	67	71	431	42	119	7	37	53	10	604.6666667	130.6666667	0.59860804
hsa-miR-1296-5p	64	48	0	34	20	20	66	42	11	45	55	3	750.9666667	71.33333333	0.600476489
hsa-miR-200c-3p	43	31	0	32	75	82	36	16	67	61	33	8	504.2666667	188	0.605102856
hsa-miR-4286-5p	21	16	2	23	14	7	25	9	2	21	4	1	90.96666667	64.33333333	0.607054012
hsa-miR-24-2-3p	8280	4941	43	13041	17922	22134	17589	12273	1641	13228	5424	663	24182903.77	14466536.25	0.613324313
hsa-miR-24-1-3p	8287	5089	43	13046	17998	22152	17608	12274	1664	13235	5497	682	24150769.77	14074536	0.614621493
hsa-miR-148b-3p	1554	2395	99	911	1270	1999	1616	1132	806	1665	3668	600	1628759.5	946169.6667	0.615343358
hsa-miR-191-5p	3133	3724	59	3380	4035	8829	5540	3069	1805	5235	3092	529	3894709.067	1003696.667	0.615867141
hsa-miR-29a-3p	5828	3145	22	6906	5519	7295	8290	4371	1907	6710	4359	596	7419604.667	2487049.667	0.61722669
hsa-miR-6842-3p	11	9	0	2	2	4	3	1	1	11	5	2	22.26666667	8	0.624830112
hsa-miR-199b-3p	5	17	0	7	12	72	8	12	3	16	14	11	45.1	30	0.624936077
hsa-miR-199a-1-3p	5	17	0	7	12	72	8	12	3	16	14	11	45.1	30	0.624936077
hsa-miR-199a-2-3p	5	17	0	7	12	73	8	12	3	16	14	12	45.46666667	30	0.624936077
hsa-miR-27a-5p	86	65	0	113	109	67	99	31	6	182	54	10	4298.566667	3406.25	0.626114764
hsa-miR-6510-3p	5	17	0	4	25	14	27	23	4	10	4	4	35.86666667	35.33333333	0.629629582
hsa-miR-361-5p	136	98	1	104	139	751	149	97	50	122	137	12	3845.066667	330.25	0.629873885
hsa-miR-6087-3p	19	12	0	15	25	56	22	12	5	24	14	4	80.96666667	28.91666667	0.630072041
hsa-miR-222-3p	1966	2922	28	3621	5382	19190	5153	2856	1465	1887	2366	345	1319148.267	224164.9167	0.63081885
hsa-miR-1285-2-3p	4	15	0	6	11	21	5	6	0	1	10	0	38.4	39	0.632139547
hsa-miR-422a-5p	26	15	2	19	22	76	25	19	6	29	20	6	116.2666667	39	0.632139547
hsa-miR-873-5p	46	18	0	13	18	34	25	33	4	23	23	2	282.2666667	157.6666667	0.636275264
hsa-miR-151a-5p	654	1388	10	424	418	195	1410	978	283	387	1101	85	306690.1667	200335	0.64272997
hsa-miR-335-3p	93	138	1	127	154	165	195	144	44	123	136	11	3887.866667	431	0.645105537
hsa-let-7i-5p	5413	9884	14	2467	3887	12535	7029	4187	2800	7879	10232	1588	18401016	4914291.333	0.64863747
hsa-miR-1180-3p	131	206	6	85	195	202	143	183	29	101	179	37	6128.8	2222.25	0.651020914
hsa-miR-301b-3p	4	2	0	9	9	8	11	1	4	11	1	0	17.6	20.33333333	0.655470312
hsa-miR-3912-3p	13	11	0	6	6	16	7	10	9	7	32	3	129.2	123.5833333	0.655832623
hsa-miR-1303-3p	14	4	0	3	9	6	12	6	5	8	4	0	28.4	22.33333333	0.657481343
