miRNAs	HEK_Pellet_SDPR_1	HEK_Pellet_PRTF_1	HEK_Pellet_CAV_1	HEK_Pellet_PN4-11_1	HEK_Pellet_PRKCA4_1	HEK_Pellet_SDPR_2	HEK_Pellet_PRTF_2	HEK_Pellet_CAV_2	HEK_Pellet_PN4-11_2	HEK_Pellet_PRKCA4_2	HEK_Pellet_SDPR_3	HEK_Pellet_PRTF_3	HEK_Pellet_CAV_3	HEK_Pellet_PN4-11_3	HEK_Pellet_PRKCA4_3	HEK_Exosome_PTRF_1	HEK_Exosome_SDPR_1	HEK_Exosome_CAV_1	HEK_Exosome_PN4-11_1	HEK_Exosome_PRKCA4_1	HEK_Exosome_SDPR_2	HEK_Exosome_PRTF_2	HEK_Exosome_CAV_2	HEK_Exosome_PN4-11_2	HEK_Exosome_PRKCA4_2	HEK_Exosome_SDPR_3	HEK_Exosome_PRTF_3	HEK_Exosome_CAV_3	HEK_Exosome_PN4-11_3	HEK_Exosome_PRKCA4_3	PC3_Pellet_GFP_4.3	PC3_Pellet_CAV1_4.3	PC3_Pellet_CAV2_4.3	PC3_Pellet_CAV3_4.3	PC3_Pellet_GFP_23.3	PC3_Pellet_CAV2_23.3Q	PC3_Pellet_CAV2_23.3	PC3_Pellet_CAV3_23.3	PC3_Pellet_GFP_6.3	PC3_Pellet_CAV1_6.3	PC3_Pellet_CAV2_6.3	PC3_Pellet_CAV3_23.3F	PC3_Exosome_GFP_4.3	PC3_Exosome_CAV1_4.3	PC3_Exosome_CAV2_4.3	PC3_Exosome_CAV3_4.3	PC3_Exosome_GFP_23.3	PC3_Exosome_CAV1_23.3	PC3_Exosome_CAV2_23.3	PC3_Exosome_CAV3_23.3	PC3_Exosome_GFP_6.3	PC3_Exosome_CAV1_6.3	PC3_Exosome_CAV2_6.3	PC3_Exosome_CAV3_6.3
hsa-miR-6811-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-4485-3p	9	6	41	20	1	0	16	11	24	15	5	2	6	1	0	6	12	1	17	1	1	6	0	21	7	8	0	292	21	429	1	8	4	18	15	19	30	24	28	3	34	3	3	2	11	6	4	5	8	4	4	0	43	24
hsa-miR-4706-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273d-3p	1	1	1	3	0	0	4	0	3	5	3	1	5	2	0	31	30	1	23	8	3	23	1	10	14	0	0	39	8	44	2	13	4	8	6	3	4	3	12	4	9	9	1	0	0	0	3	2	0	1	1	1	3	0
hsa-miR-215-3p	3	4	8	3	0	0	2	2	0	4	1	1	2	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3680-1-3p	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-890-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6764-5p	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	6	4	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0
hsa-miR-548as-5p	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6824-3p	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1
hsa-miR-3690-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-9-3-3p	47	27	142	100	0	0	65	44	40	73	35	21	38	63	33	107	89	4	60	29	5	14	2	9	15	1	1	53	4	36	3	2	1	2	7	4	7	3	2	2	3	3	4	5	5	2	1	4	0	8	2	0	26	2
hsa-miR-6854-3p	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-8485-3p	9	0	0	11	0	0	0	0	0	1	1	0	0	0	0	19	0	1	39	0	0	53	0	37	35	8	0	34	0	21	0	0	9	7	0	0	19	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-7109-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3127-3p	1	0	8	4	0	0	0	2	3	3	4	1	0	1	3	2	0	2	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	4	0	0	0	1	0	0	0	0	2	1	1	1	0	0	2	0	0	3	0
hsa-miR-510-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7107-3p	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4510-5p	2	7	23	19	0	0	16	5	7	6	6	1	10	9	2	1	1	0	1	0	1	0	0	1	0	0	0	1	1	1	0	2	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	2	2
hsa-miR-548a-3-3p	1	1	11	8	0	0	4	3	1	6	5	2	4	1	2	5	13	0	7	1	1	7	0	3	4	0	0	5	0	1	1	0	0	1	7	0	0	1	2	0	0	0	3	0	0	3	1	2	0	0	0	0	2	2
hsa-miR-3679-5p	4	1	9	14	0	0	7	4	8	2	7	4	9	2	3	3	0	2	5	1	0	0	0	0	0	0	0	2	1	1	0	1	0	2	0	0	0	0	1	1	0	1	2	0	1	3	0	0	1	2	0	0	2	0
hsa-miR-548m-5p	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-195-5p	29	30	217	124	0	0	64	54	42	54	24	34	42	45	47	15	13	2	24	0	0	3	1	0	3	0	0	5	0	4	2	8	2	5	50	5	14	4	7	1	4	9	0	1	1	1	4	3	0	7	0	0	12	1
hsa-miR-5693-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-544b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548i-4-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6894-5p	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6798-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-622-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1270-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	1	5	0	3	1	5	0	0	0	2	0	1	0	0	1	1
hsa-miR-3176-3p	11	13	40	29	0	0	21	17	37	23	59	31	55	48	17	31	10	4	29	3	7	5	2	4	12	0	0	9	0	7	1	1	0	0	1	1	1	2	2	1	0	0	1	2	3	0	2	1	0	2	0	0	3	0
hsa-miR-588-5p	2	3	1	2	0	0	4	1	2	3	0	0	1	2	1	2	1	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3677-5p	4	5	7	4	0	0	5	2	1	0	4	0	6	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	1	2	0	3	3	0	0	0	1	2	1	1	1	0	0	0	0
hsa-miR-548ba-3p	4	2	2	1	0	0	0	3	1	5	1	4	5	1	5	1	1	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4636-5p	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-136-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	1	0	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0
hsa-miR-6510-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-551b-5p	21	25	63	32	0	0	27	19	25	21	31	9	34	37	10	2	1	7	2	4	1	0	0	1	3	0	2	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
hsa-let-7a-2-3p	0	1	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	47	17	33	25	35	22	32	43	15	61	38	13	12	33	23	19	13	32	32	0	0	34	8
hsa-miR-4663-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-422a-5p	26	66	91	109	0	0	112	56	97	66	77	48	92	55	45	45	26	22	23	25	8	13	1	7	17	0	0	13	9	22	9	28	15	13	17	16	18	16	15	11	15	21	20	15	22	19	29	26	19	25	6	2	76	6
hsa-miR-4662b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1302-10-5p	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3175-5p	2	1	1	0	0	0	2	2	2	0	0	1	1	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3115-5p	1	0	2	0	0	0	2	2	0	2	1	3	1	2	2	6	3	0	6	1	0	0	0	0	0	0	0	3	2	2	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	2	0	0	3	0
hsa-miR-548i-3-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7109-3p	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5194-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1911-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3122-5p	0	0	2	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4474-3p	11	2	3	9	0	0	8	6	6	3	5	3	8	2	3	15	4	3	11	7	0	1	1	1	1	0	0	1	1	4	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4536-1-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6848-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4795-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3653-5p	20	12	17	11	0	0	19	10	14	5	10	1	14	3	6	0	1	0	4	0	3	0	0	0	1	0	0	0	0	2	5	5	7	9	12	10	7	4	11	5	2	6	1	0	0	1	1	0	0	3	0	0	1	0
hsa-miR-1287-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3135b-3p	1	2	4	1	0	0	3	0	4	1	0	3	1	0	0	26	20	3	11	7	3	21	0	7	10	1	0	21	0	4	0	3	0	3	6	1	4	1	11	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3670-4-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4327-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-1227-3p	4	8	6	6	0	0	5	3	4	6	6	2	3	4	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-7854-5p	2	4	2	2	0	0	4	2	4	1	5	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	2	2	1	1	2	2	2	1	0	0	7	1	2	1	1	4	0	0	0	0
hsa-miR-548au-3p	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4734-3p	1	2	3	1	0	0	1	0	3	1	4	0	2	3	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-5188-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1255b-2-5p	1	3	1	4	0	0	1	0	0	0	1	2	1	3	0	1	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	1	0
hsa-miR-448-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0
hsa-miR-3116-1-5p	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-20a-5p	23375	21640	116937	45593	81	191	21336	32910	17049	28756	8356	11973	17959	34026	17784	17499	17476	4824	23259	5707	2997	15078	1115	6974	15157	161	94	16953	1342	12244	4590	3297	819	1275	16200	2601	6703	1924	4996	2435	3030	3244	3549	1501	894	424	2688	1116	975	1800	515	232	6079	1288
hsa-miR-2909-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6134-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	3	2	0	1	0	2	0	0	0	1	1	1	0	1	0	0	0	0	0
hsa-miR-1255a-5p	32	28	22	30	0	0	66	20	40	20	46	22	31	31	21	4	1	2	3	0	1	0	0	0	6	0	0	0	0	6	0	2	0	2	0	1	0	2	2	3	2	3	2	4	1	2	1	2	3	5	1	0	1	0
hsa-miR-320b-1-3p	851	809	1773	1577	12	8	1858	685	1322	888	826	442	1198	906	798	1299	765	1224	731	1689	398	224	159	91	276	51	9	274	200	602	243	429	157	293	505	271	417	173	235	139	159	191	1099	694	1327	1038	448	527	414	570	212	25	1780	274
hsa-miR-5000-5p	2	3	4	2	0	0	1	6	8	3	3	1	3	2	4	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1	0	0	0	0	0	0
hsa-miR-1343-3p	3	3	8	6	0	0	15	3	4	4	7	3	6	5	1	2	2	1	1	2	0	0	0	1	0	0	0	5	0	0	1	7	1	1	1	3	0	0	1	3	0	1	0	0	0	1	3	0	0	1	0	0	0	1
hsa-miR-3158-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-516b-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-485-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	2	0
hsa-miR-4498-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-455-3p	26	25	76	56	0	0	40	29	26	33	14	6	42	17	26	0	4	0	7	1	0	0	0	0	0	0	0	6	1	6	4	3	2	3	8	1	3	8	6	4	1	4	1	3	3	2	3	1	1	5	0	0	1	0
hsa-miR-18b-5p	29	11	58	82	0	1	22	31	19	45	8	31	23	31	49	8	4	3	8	2	2	0	0	1	2	0	0	4	1	1	1	5	0	1	4	0	4	4	4	0	3	1	1	2	0	1	1	1	1	1	1	0	5	1
hsa-miR-486-2-3p	0	0	11	16	0	0	2	1	0	1	0	0	0	0	0	2	2	0	1	0	1	0	1	1	1	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6873-3p	4	4	10	1	0	0	5	1	3	5	3	2	6	0	2	5	2	0	3	1	0	2	0	1	0	0	0	8	1	9	1	0	1	3	2	1	1	1	4	0	1	0	0	1	0	2	1	1	2	0	0	0	6	1
hsa-miR-4788-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
