Accession Number,Protein Name,Mean Ratio (cavin1/GFP),Standard Deviations,Number of Observations,p-value
P09758,Tumor-associated calcium signal transducer 2 OS=Homo sapiens GN=TACSTD2 PE=1 SV=3,0.376,0.11334834,14,0.012
P35579,Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,0.329833333,0.016142078,6,0.01252
Q92616,Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=5,0.3785625,0.150326298,16,0.01252
P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLAT PE=1 SV=3",0.353933333,0.370143306,15,0.01275
P35222,Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1,0.3664375,0.206518109,16,0.0129
Q9NVH1,DnaJ homolog subfamily C member 11 OS=Homo sapiens GN=DNAJC11 PE=1 SV=2,0.296038462,0.221754365,26,0.01316
Q01082,"Spectrin beta chain, brain 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2",0.395090909,0.211773679,11,0.01482
P09669,Cytochrome c oxidase subunit 6C OS=Homo sapiens GN=COX6C PE=1 SV=2,0.3206,0.288207044,5,0.01485
Q9NQC3,Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2,0.407384615,0.171163927,13,0.01497
Q9Y512,Sorting and assembly machinery component 50 homolog OS=Homo sapiens GN=SAMM50 PE=1 SV=3,0.411111111,0.270582789,18,0.015
P62136,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens GN=PPP1CA PE=1 SV=1,0.37175,0.227810542,8,0.01512
Q3ZCQ8,Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens GN=TIMM50 PE=1 SV=2,0.253,0.042532341,3,0.01617
Q9NX40,OCIA domain-containing protein 1 OS=Homo sapiens GN=OCIAD1 PE=1 SV=1,0.37825,0.270876751,8,0.01656
Q9NS69,Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens GN=TOMM22 PE=1 SV=3,0.33797561,0.243178688,41,0.01685
P52815,"39S ribosomal protein L12, mitochondrial OS=Homo sapiens GN=MRPL12 PE=1 SV=2",0.2995,0.35682442,4,0.01704
P39210,Protein Mpv17 OS=Homo sapiens GN=MPV17 PE=1 SV=1,0.203,0.069296465,2,0.01745
P07237,Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3,0.3328,0.016346253,5,0.01777
P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3",0.232755556,0.221082271,45,0.01808
P20674,"Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens GN=COX5A PE=1 SV=2",0.427,0.233932148,25,0.01812
O75487,Glypican-4 OS=Homo sapiens GN=GPC4 PE=1 SV=4,0.38725,0.206418265,8,0.0182
P43121,Cell surface glycoprotein MUC18 OS=Homo sapiens GN=MCAM PE=1 SV=2,0.2055,0.113844192,2,0.0185
P05556,Integrin beta-1 OS=Homo sapiens GN=ITGB1 PE=1 SV=2,0.268,0.075019997,3,0.01928
P21589,5'-nucleotidase OS=Homo sapiens GN=NT5E PE=1 SV=1,0.39462963,0.280146685,27,0.01938
Q00325,"Phosphate carrier protein, mitochondrial OS=Homo sapiens GN=SLC25A3 PE=1 SV=2",0.427131579,0.307451,38,0.0197
Q86UP2,Kinectin OS=Homo sapiens GN=KTN1 PE=1 SV=1,0.4521,0.244519486,20,0.01973
Q15388,Mitochondrial import receptor subunit TOM20 homolog OS=Homo sapiens GN=TOMM20 PE=1 SV=1,0.394142857,0.249607259,42,0.02062
P49821,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens GN=NDUFV1 PE=1 SV=4",0.459647059,0.201786998,17,0.02177
Q9NVI7,ATPase family AAA domain-containing protein 3A OS=Homo sapiens GN=ATAD3A PE=1 SV=2,0.419740741,0.222392496,54,0.02188
Q9NX63,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial OS=Homo sapiens GN=CHCHD3 PE=1 SV=1",0.464791667,0.259941796,24,0.0224
Q01628,Interferon-induced transmembrane protein 3 OS=Homo sapiens GN=IFITM3 PE=2 SV=2,0.28,0.236036014,3,0.02274
P10606,"Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens GN=COX5B PE=1 SV=2",0.479166667,0.228175535,30,0.02367
Q9Y4L1,Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1,0.282666667,0.340032842,3,0.02444
Q16795,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Homo sapiens GN=NDUFA9 PE=1 SV=2",0.481785714,0.242619708,28,0.02461
P40939,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2",0.47928,0.236887723,25,0.02469
P09525,Annexin A4 OS=Homo sapiens GN=ANXA4 PE=1 SV=4,0.488121212,0.147760524,33,0.02536
O96008,Mitochondrial import receptor subunit TOM40 homolog OS=Homo sapiens GN=TOMM40 PE=1 SV=1,0.474588235,0.423118231,34,0.02558
P00403,Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1,0.480685714,0.243247607,35,0.02615
P02647,Apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=1 SV=1,0.2315,0.055861436,2,0.02664
P63104,14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1,0.48876,0.222790312,25,0.02755
O75438,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 OS=Homo sapiens GN=NDUFB1 PE=1 SV=1,0.293666667,0.158348771,3,0.02809
P58107,Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=1,0.513636364,0.252521166,55,0.02874
P21333,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,0.464866667,0.231315451,15,0.03032
P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens GN=NDUFS1 PE=1 SV=3",0.529917808,0.261337466,73,0.03153
Q13813,"Spectrin alpha chain, brain OS=Homo sapiens GN=SPTAN1 PE=1 SV=3",0.485468354,0.216974052,79,0.0318
Q99623,Prohibitin-2 OS=Homo sapiens GN=PHB2 PE=1 SV=2,0.487407407,0.293635181,81,0.03213
Q9UJZ1,Stomatin-like protein 2 OS=Homo sapiens GN=STOML2 PE=1 SV=1,0.516151899,0.284302254,79,0.03222
P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3,0.37,0.220955878,5,0.03313
Q14160,Protein scribble homolog OS=Homo sapiens GN=SCRIB PE=1 SV=4,0.512948718,0.213789487,39,0.03385
Q16891,Mitochondrial inner membrane protein OS=Homo sapiens GN=IMMT PE=1 SV=1,0.429803922,0.247562535,102,0.03645
Q5JWF2,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Homo sapiens GN=GNAS PE=1 SV=2,0.540621212,0.188243032,66,0.03661
Q03135,Caveolin-1 OS=Homo sapiens GN=CAV1 PE=1 SV=4,1.993043478,0.410101482,23,0.03772
P62736,"Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1",0.46387931,0.167727012,116,0.03896
P11166,"Solute carrier family 2, facilitated glucose transporter member 1 OS=Homo sapiens GN=SLC2A1 PE=1 SV=2",0.49665,0.155499289,20,0.03918
P50995,Annexin A11 OS=Homo sapiens GN=ANXA11 PE=1 SV=1,0.551870588,0.151162857,85,0.04008
P80723,Brain acid soluble protein 1 OS=Homo sapiens GN=BASP1 PE=1 SV=2,0.538083333,0.142025595,48,0.04019
O75131,Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,0.530166667,0.150235411,42,0.04032
P35232,Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1,0.540693878,0.347140474,49,0.04215
P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2",0.55883908,0.185933651,87,0.04239
P15144,Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4,0.4766,0.142488611,140,0.04313
P27797,Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1,0.2625,0.009192388,2,0.04319
P60709,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1",0.481275,0.169553292,120,0.04465
P45880,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens GN=VDAC2 PE=1 SV=2,0.506168142,0.26374585,113,0.04467
Q56VL3,OCIA domain-containing protein 2 OS=Homo sapiens GN=OCIAD2 PE=1 SV=1,0.413,0.126928326,6,0.04635
P0C7P4,Putative cytochrome b-c1 complex subunit Rieske-like protein 1 OS=Homo sapiens GN=UQCRFSL1 PE=5 SV=1,0.502,0.278306586,19,0.0467
P03905,NADH-ubiquinone oxidoreductase chain 4 OS=Homo sapiens GN=MT-ND4 PE=1 SV=1,0.332666667,0.093735443,3,0.04713
P61225,Ras-related protein Rap-2b OS=Homo sapiens GN=RAP2B PE=1 SV=1,0.509047619,0.135030173,21,0.04803
P21796,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2,0.559131579,0.315229022,114,0.04872
