Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-350054,Notch-HLH transcription pathway,9,13,0.00107438,0.433070249,0.996863647,1,1,1.03E-04,48887,Homo sapiens,NOTCH2;NOTCH3;CREBBP;NOTCH1;MAML1;NOTCH4;MAML3;RBPJ;MAMLD1,,R-HSA-212356
R-HSA-447038,NrCAM interactions,5,7,5.79E-04,0.450090186,0.996863647,4,4,4.13E-04,48887,Homo sapiens,DLG1;NRP2;DLG3;CNTN2;ANK2;ANK1,,R-HSA-447030;R-HSA-376134;R-HSA-549060;R-HSA-445067
R-HSA-2473224,Antagonism of Activin by Follistatin,3,4,3.31E-04,0.460821896,0.996863647,2,2,2.06E-04,48887,Homo sapiens,INHBB;INHBA;FSTL3,,R-HSA-2473184;R-HSA-2473186
R-HSA-5602680,MyD88 deficiency (TLR5),3,4,3.31E-04,0.460821896,0.996863647,1,1,1.03E-04,48887,Homo sapiens,IRAK4;TLR5;MYD88,,R-HSA-5602316
R-HSA-139915,Activation of PUMA and translocation to mitochondria,6,9,7.44E-04,0.499262938,0.996863647,5,5,5.16E-04,48887,Homo sapiens,E2F1;TP53BP2;TP53;BBC3;TP73,,R-HSA-139914;R-HSA-139913;R-HSA-4331340;R-HSA-4331324;R-HSA-140221
R-HSA-5620916,VxPx cargo-targeting to cilium,16,25,0.002066116,0.507100742,0.996863647,10,10,0.001031672,48887,Homo sapiens,EXOC7;RAB3IP;GBF1;ASAP1;PKD2;PKD1;RHO;EXOC4;EXOC3;CNGA2;EXOC6;EXOC5;CNGA4;RAB11FIP3;RAB8A;CNGB1,,R-HSA-5623525;R-HSA-5623524;R-HSA-5623508;R-HSA-5623527;R-HSA-5620918;R-HSA-5623521;R-HSA-5620914;R-HSA-5623519;R-HSA-5620921;R-HSA-5623513
R-HSA-159230,Transport of the SLBP Dependant Mature mRNA,4,6,4.96E-04,0.521843015,0.996863647,3,3,3.10E-04,48887,Homo sapiens,SLBP;TMEM223;NCBP1;NCBP2,,R-HSA-77587;R-HSA-159046;R-HSA-159050
R-HSA-2644605,FBXW7 Mutants and NOTCH1 in Cancer,4,6,4.96E-04,0.521843015,0.996863647,1,1,1.03E-04,48887,Homo sapiens,NOTCH1;FBXW7;CUL1,,R-HSA-2220978
R-HSA-2644607,Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,4,6,4.96E-04,0.521843015,0.996863647,1,1,1.03E-04,48887,Homo sapiens,NOTCH1;FBXW7;CUL1,,R-HSA-2220978
R-HSA-1306955,GRB7 events in ERBB2 signaling,4,6,4.96E-04,0.521843015,0.996863647,1,1,1.03E-04,48887,Homo sapiens,ERBB3;NRG1;NRG2,,R-HSA-1306953
R-HSA-442380,Zinc influx into cells by the SLC39 gene family,7,11,9.09E-04,0.539049824,0.996863647,6,6,6.19E-04,48887,Homo sapiens,SLC39A5;SLC39A10;SLC39A7;SLC39A2;SLC39A14;SLC39A3,,R-HSA-442422;R-HSA-442405;R-HSA-442387;R-HSA-442317;R-HSA-442393;R-HSA-442345
R-HSA-68689,CDC6 association with the ORC:origin complex,7,11,9.09E-04,0.539049824,0.996863647,2,2,2.06E-04,48887,Homo sapiens,ORC5;ORC4;ORC6;MCM8;E2F1;E2F2;MCM4;E2F3,,R-HSA-68688;R-HSA-68637
R-HSA-5624958,ARL13B-mediated ciliary trafficking of INPP5E,2,3,2.48E-04,0.56300905,0.996863647,4,4,4.13E-04,48887,Homo sapiens,ARL13B;INPP5E,,R-HSA-5624956;R-HSA-5638012;R-HSA-5624953;R-HSA-5624954
R-HSA-352238,Breakdown of the nuclear lamina,2,3,2.48E-04,0.56300905,0.996863647,2,2,2.06E-04,48887,Homo sapiens,CASP6;LMNA,,R-HSA-264871;R-HSA-264865
R-HSA-111446,Activation of BIM and translocation to mitochondria ,2,3,2.48E-04,0.56300905,0.996863647,2,2,2.06E-04,48887,Homo sapiens,BCL2L11;DLC1,,R-HSA-139918;R-HSA-139919
R-HSA-5602636,IKBKB deficiency causes SCID,2,3,2.48E-04,0.56300905,0.996863647,1,1,1.03E-04,48887,Homo sapiens,IKBKB;IKBKG,,R-HSA-5228840
R-HSA-5545619,"XAV939 inhibits tankyrase, stabilizing AXIN",2,3,2.48E-04,0.56300905,0.996863647,1,1,1.03E-04,48887,Homo sapiens,TNKS,,R-HSA-5262606
R-HSA-5083628,"Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3",2,3,2.48E-04,0.56300905,0.996863647,1,1,1.03E-04,48887,Homo sapiens,DAG1;POMGNT1,,R-HSA-5617096
R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,2,3,2.48E-04,0.56300905,0.996863647,4,5,5.16E-04,48887,Homo sapiens,OGG1;MID1,,R-HSA-110240;R-HSA-110235;R-HSA-110239;R-HSA-110238
R-HSA-3134973,LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production,5,8,6.61E-04,0.565866076,0.996863647,5,5,5.16E-04,48887,Homo sapiens,CREBBP;IRF3;ZC3H7B;CTNNB1;LRRFIP1,,R-HSA-3134904;R-HSA-3134901;R-HSA-3134883;R-HSA-3134914;R-HSA-3134896
R-HSA-194313,VEGF ligand-receptor interactions,5,8,6.61E-04,0.565866076,0.996863647,4,4,4.13E-04,48887,Homo sapiens,FLT1;FLT4;KDR;VEGFB;VEGFA,,R-HSA-195378;R-HSA-194310;R-HSA-194311;R-HSA-194308
R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,5,8,6.61E-04,0.565866076,0.996863647,3,3,3.10E-04,48887,Homo sapiens,BCL2L11;PMAIP1;BMF;BID;BBC3,,R-HSA-114352;R-HSA-508163;R-HSA-508162
R-HSA-195399,VEGF binds to VEGFR leading to receptor dimerization,5,8,6.61E-04,0.565866076,0.996863647,3,3,3.10E-04,48887,Homo sapiens,FLT1;FLT4;KDR;VEGFB;VEGFA,,R-HSA-194310;R-HSA-194311;R-HSA-194308
R-HSA-2173788,Downregulation of TGF-beta receptor signaling,17,28,0.00231405,0.591415727,0.996863647,28,28,0.002888683,48887,Homo sapiens,SMAD2;USP15;SMAD3;SMURF1;NEDD4L;MTMR4;UCHL5;TGFBR1;TGFBR2;SMAD7;PPP1CA;PPP1CB;BAMBI;PMEPA1;EMB;UBA52,,R-HSA-178178;R-HSA-2176417;R-HSA-2176416;R-HSA-2128994;R-HSA-2187368;R-HSA-173512;R-HSA-2167917;R-HSA-2187375;R-HSA-178189;R-HSA-2167924;R-HSA-2187382;R-HSA-2176445;R-HSA-178208;R-HSA-173542;R-HSA-2176452;R-HSA-178215;R-HSA-2167876;R-HSA-178218;R-HSA-2187401;R-HSA-173483;R-HSA-2127562;R-HSA-2187405;R-HSA-2169046;R-HSA-2187355;R-HSA-2179291;R-HSA-2169050;R-HSA-2179293;R-HSA-2187358
R-HSA-1433617,Regulation of signaling by NODAL,6,10,8.26E-04,0.600556212,0.996863647,3,3,3.10E-04,48887,Homo sapiens,LEFTY1;ACVR1C;ACVR1B;LEFTY2;ACVR2B;DAND5,,R-HSA-1181351;R-HSA-1181354;R-HSA-1181352
R-HSA-1296052,Ca2+ activated K+ channels,6,10,8.26E-04,0.600556212,0.996863647,2,3,3.10E-04,48887,Homo sapiens,KCNMA1;KCNMB2;KCNMB4;KCNN3,,R-HSA-1296039;R-HSA-1296037
R-HSA-1502540,Signaling by Activin,9,15,0.001239669,0.601181798,0.996863647,10,10,0.001031672,48887,Homo sapiens,SMAD2;SMAD4;SMAD3;ACVR1C;INHBB;INHBA;ACVR1B;ACVR2B;FSTL3,,R-HSA-1549526;R-HSA-173488;R-HSA-1181153;R-HSA-2473184;R-HSA-2470483;R-HSA-2473186;R-HSA-2470508;R-HSA-1225919;R-HSA-170847;R-HSA-1181149
R-HSA-5223345,Miscellaneous transport and binding events,15,25,0.002066116,0.607848994,0.996863647,9,11,0.00113484,48887,Homo sapiens,MRS2;MMGT1;NIPA1;CASK;CTNS;NIPA2;MAGT1;EPB49;ADD1;ADD2;NIPAL4;ANKH;NIPAL1;NIPAL2;NIPAL3,,R-HSA-5336466;R-HSA-5339538;R-HSA-5340130;R-HSA-5336453;R-HSA-5336454;R-HSA-5226999;R-HSA-5226964;R-HSA-5226979;R-HSA-5340124
R-HSA-159227,Transport of the SLBP independent Mature mRNA,3,5,4.13E-04,0.609086675,0.996863647,3,3,3.10E-04,48887,Homo sapiens,TMEM223;NCBP1;NCBP2,,R-HSA-158481;R-HSA-158484;R-HSA-111439
R-HSA-111458,Formation of apoptosome,3,5,4.13E-04,0.609086675,0.996863647,3,3,3.10E-04,48887,Homo sapiens,CASP9;APAF1;CYCS,,R-HSA-114256;R-HSA-114259;R-HSA-114254
R-HSA-390650,Histamine receptors,3,5,4.13E-04,0.609086675,0.996863647,3,3,3.10E-04,48887,Homo sapiens,HRH1;HRH2;HRH4,,R-HSA-390886;R-HSA-390912;R-HSA-390909
R-HSA-417973,Adenosine P1 receptors,3,5,4.13E-04,0.609086675,0.996863647,2,2,2.06E-04,48887,Homo sapiens,ADORA2B;ADORA3;ADORA1,,R-HSA-418925;R-HSA-418904
R-HSA-5140745,"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",3,5,4.13E-04,0.609086675,0.996863647,2,2,2.06E-04,48887,Homo sapiens,FZD5;WNT5A;ROR2,,R-HSA-5140747;R-HSA-5140741
R-HSA-8853336,Signaling by plasma membrane FGFR1 fusions,3,5,4.13E-04,0.609086675,0.996863647,2,2,2.06E-04,48887,Homo sapiens,BAG4;ERLIN2;FGFR1,,R-HSA-8853325;R-HSA-8853322
R-HSA-5357609,Glycogen storage disease type II (GAA),3,5,4.13E-04,0.609086675,0.996863647,2,2,2.06E-04,48887,Homo sapiens,GAA;GYG2;GLG1,,R-HSA-5357600;R-HSA-5357606
R-HSA-170145,Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes,3,5,4.13E-04,0.609086675,0.996863647,2,2,2.06E-04,48887,Homo sapiens,CCNA2;CCNA1;CDK1,,R-HSA-69754;R-HSA-69756
R-HSA-5635838,Activation of SMO,7,12,9.92E-04,0.629298959,0.996863647,9,9,9.29E-04,48887,Homo sapiens,EVC;SMO;KIF3A;ADRBK1;IQCE;ARRB1;ARRB2,,R-HSA-5632679;R-HSA-5633040;R-HSA-5632672;R-HSA-5632674;R-HSA-5632668;R-HSA-5632671;R-HSA-5632670;R-HSA-5633051;R-HSA-5632667
R-HSA-937042,IRAK2 mediated activation of TAK1 complex,7,12,9.92E-04,0.629298959,0.996863647,5,5,5.16E-04,48887,Homo sapiens,TRAF6;TAB3;TAB2;VHL;TAB1;UBA52;MAP3K7,,R-HSA-936942;R-HSA-936991;R-HSA-936986;R-HSA-936963;R-HSA-936960
R-HSA-975163,IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation,7,12,9.92E-04,0.629298959,0.996863647,5,5,5.16E-04,48887,Homo sapiens,TRAF6;TAB3;TAB2;VHL;TAB1;UBA52;MAP3K7,,R-HSA-450358;R-HSA-975103;R-HSA-975147;R-HSA-975097;R-HSA-975185
R-HSA-201688,WNT mediated activation of DVL,7,12,9.92E-04,0.629298959,0.996863647,4,4,4.13E-04,48887,Homo sapiens,CSNK2A1;CSNK2B;DVL1;DVL2;DVL3;PIP5K1B;CSNK1E,,R-HSA-201717;R-HSA-3772435;R-HSA-3772434;R-HSA-3772436
R-HSA-448706,Interleukin-1 processing,4,7,5.79E-04,0.641759862,0.996863647,5,5,5.16E-04,48887,Homo sapiens,IL1A;REL;CASP1;IL18,,R-HSA-448678;R-HSA-449058;R-HSA-448673;R-HSA-448702;R-HSA-448703
R-HSA-442717,CREB phosphorylation through the activation of CaMKK,4,7,5.79E-04,0.641759862,0.996863647,5,5,5.16E-04,48887,Homo sapiens,CREB1;CAMK4;CALM3;CALM1;CAMKK1,,R-HSA-111913;R-HSA-111915;R-HSA-112282;R-HSA-442749;R-HSA-443480
R-HSA-75158,TRAIL  signaling,4,7,5.79E-04,0.641759862,0.996863647,5,5,5.16E-04,48887,Homo sapiens,TNFSF10;TNFRSF10B;TNFRSF10A;CFLAR;TNFRSF10D,,R-HSA-141139;R-HSA-75187;R-HSA-141316;R-HSA-75238;R-HSA-75146
R-HSA-74713,IRS activation,4,7,5.79E-04,0.641759862,0.996863647,3,3,3.10E-04,48887,Homo sapiens,IRS1;INSR;IRS2;INS,,R-HSA-74707;R-HSA-74711;R-HSA-74712
R-HSA-8849473,PTK6 Expression,4,7,5.79E-04,0.641759862,0.996863647,3,3,3.10E-04,48887,Homo sapiens,EPAS1;PTK6;NR3C1,,R-HSA-8848804;R-HSA-8856930;R-HSA-8848812
R-HSA-68911,G2 Phase,4,7,5.79E-04,0.641759862,0.996863647,2,2,2.06E-04,48887,Homo sapiens,CCNA2;CCNA1;E2F1;E2F3,,R-HSA-187937;R-HSA-187959
R-HSA-3304356,SMAD2/3 Phosphorylation Motif Mutants in Cancer,4,7,5.79E-04,0.641759862,0.996863647,2,2,2.06E-04,48887,Homo sapiens,SMAD2;SMAD3;TGFBR1;TGFBR2,,R-HSA-3713560;R-HSA-3304394
R-HSA-1566977,Fibronectin matrix formation,4,7,5.79E-04,0.641759862,0.996863647,2,3,3.10E-04,48887,Homo sapiens,CEACAM1;CEACAM6;CEACAM8;ITGA5,,R-HSA-202723;R-HSA-2327746
R-HSA-982772,Growth hormone receptor signaling,17,29,0.002396694,0.647448327,0.996863647,28,28,0.002888683,48887,Homo sapiens,LYN;STAT5A;STAT5B;CISH;STAT1;CSH2;IRS1;CSH1;STAT3;IRS2;CSHL1;PRLR;GH2;GHR;GH1;ADAM17;STAT4;MAPK1;MAPK3,,R-HSA-452102;R-HSA-1168789;R-HSA-982792;R-HSA-1168768;R-HSA-982810;R-HSA-1168839;R-HSA-1168777;R-HSA-1168393;R-HSA-982807;R-HSA-1168456;R-HSA-1168459;R-HSA-1168394;R-HSA-1362485;R-HSA-982765;R-HSA-507937;R-HSA-1169210;R-HSA-1168445;R-HSA-1168767;R-HSA-1168894;R-HSA-982778;R-HSA-1362465;R-HSA-1169188;R-HSA-1168423;R-HSA-1168809;R-HSA-982775;R-HSA-1169192;R-HSA-1168813;R-HSA-982768
R-HSA-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,11,19,0.001570248,0.64878679,0.996863647,14,14,0.001444341,48887,Homo sapiens,CCNA2;CCNA1;CDKN1A;E2F1;TP53;E2F7;ZNF385A,,R-HSA-6791363;R-HSA-6798304;R-HSA-6798347;R-HSA-6803403;R-HSA-6803400;R-HSA-6803411;R-HSA-6798353;R-HSA-6803391;R-HSA-6803388;R-HSA-69562;R-HSA-6791387;R-HSA-6798299;R-HSA-187934;R-HSA-6803801
R-HSA-1234158,Regulation of gene expression by Hypoxia-inducible Factor,8,14,0.001157025,0.653887389,0.996863647,6,6,6.19E-04,48887,Homo sapiens,CREBBP;CITED2;EPAS1;ZC3H7B;ARNT;HIF3A;VEGFA,,R-HSA-1234161;R-HSA-1234167;R-HSA-1235035;R-HSA-1234171;R-HSA-1235070;R-HSA-1235037
R-HSA-5682910,LGI-ADAM interactions,8,14,0.001157025,0.653887389,0.996863647,5,5,5.16E-04,48887,Homo sapiens,STX1B;CACNG8;LGI4;LGI3;LGI2;ADAM11;ADAM22;CACNG4,,R-HSA-5682709;R-HSA-5682802;R-HSA-5682769;R-HSA-5682826;R-HSA-5682794
R-HSA-110357,Displacement of DNA glycosylase by APEX1,5,9,7.44E-04,0.667779518,0.996863647,8,8,8.25E-04,48887,Homo sapiens,SMUG1;MBD4;OGG1;HAP1;MID1,,R-HSA-110353;R-HSA-110352;R-HSA-110355;R-HSA-110354;R-HSA-110356;R-HSA-110349;R-HSA-110351;R-HSA-110350
R-HSA-3304349,Loss of Function of SMAD2/3 in Cancer,5,9,7.44E-04,0.667779518,0.996863647,6,6,6.19E-04,48887,Homo sapiens,SMAD2;SMAD4;SMAD3;TGFBR1;TGFBR2,,R-HSA-3702184;R-HSA-3713560;R-HSA-3702153;R-HSA-3702186;R-HSA-3304394;R-HSA-3315483
R-HSA-4411364,Binding of TCF/LEF:CTNNB1 to target gene promoters,5,9,7.44E-04,0.667779518,0.996863647,4,4,4.13E-04,48887,Homo sapiens,TCF7L2;TCF7L1;LEF1;TCF7;CTNNB1;TCF4;TCF3,,R-HSA-4411367;R-HSA-4411351;R-HSA-4411357;R-HSA-4411372
R-HSA-3315487,SMAD2/3 MH2 Domain Mutants in Cancer,5,9,7.44E-04,0.667779518,0.996863647,4,4,4.13E-04,48887,Homo sapiens,SMAD2;SMAD4;SMAD3;TGFBR1;TGFBR2,,R-HSA-3702184;R-HSA-3702153;R-HSA-3702186;R-HSA-3315483
R-HSA-5576890,Phase 3 - rapid repolarisation,5,9,7.44E-04,0.667779518,0.996863647,2,2,2.06E-04,48887,Homo sapiens,KCNE3;KCNE4;AKAP9;KCNE1L;ERG,,R-HSA-5577237;R-HSA-5577050
R-HSA-5603027,IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR),5,9,7.44E-04,0.667779518,0.996863647,1,1,1.03E-04,48887,Homo sapiens,IKBKB;REL;IKBKG;NFKBIB,,R-HSA-5262921
R-HSA-8854691,"Interleukin-19, 20, 22, 24",5,9,7.44E-04,0.667779518,0.996863647,4,6,6.19E-04,48887,Homo sapiens,IL20;IL10RB;IL34;IL20RB,,R-HSA-8854645;R-HSA-448708;R-HSA-448728;R-HSA-448744
R-HSA-2197563,NOTCH2 intracellular domain regulates transcription,9,16,0.001322314,0.675388274,0.996863647,9,9,9.29E-04,48887,Homo sapiens,NOTCH2;FCER2;CREB1;MAML1;ZC3H7B;MAML3;RBPJ;MAMLD1,,R-HSA-2976716;R-HSA-2197588;R-HSA-2127285;R-HSA-2976551;R-HSA-2976742;R-HSA-2976726;R-HSA-2197562;R-HSA-2197564;R-HSA-2976563
R-HSA-6804760,Regulation of TP53 Activity through Methylation,13,23,0.001900826,0.687182681,0.996863647,12,12,0.001238007,48887,Homo sapiens,L3MBTL1;CDS1;SETD8;EHMT2;EHMT1;C5orf35;ZC3H7B;MDM2;SMYD2;MDM4;ATM;UBA52;TP53,,R-HSA-6804229;R-HSA-6804276;R-HSA-6804242;R-HSA-3222116;R-HSA-6805730;R-HSA-6804383;R-HSA-6804253;R-HSA-6805740;R-HSA-6805755;R-HSA-6804379;R-HSA-3222237;R-HSA-6804266
R-HSA-164940,Nef mediated downregulation of MHC class I complex cell surface expression,6,11,9.09E-04,0.689665428,0.996863647,4,4,4.13E-04,48887,Homo sapiens,AP1G1;PACS1;HLA-A;AP1S3;AP1M2;AP1M1,,R-HSA-182243;R-HSA-182279;R-HSA-182263;R-HSA-182286
R-HSA-629597,Highly calcium permeable nicotinic acetylcholine receptors,6,11,9.09E-04,0.689665428,0.996863647,2,2,2.06E-04,48887,Homo sapiens,CHRNA1;CHRNB2;CHRNB4;CHRNA2;CHRNA5;CHRNA4,,R-HSA-629599;R-HSA-622326
R-HSA-1170546,Prolactin receptor signaling,10,18,0.001487603,0.694490027,0.996863647,14,14,0.001444341,48887,Homo sapiens,STAT5A;GHR;GH2;STAT5B;GH1;CSH2;CSH1;CUL1;CSHL1;BTRC;PRLR,,R-HSA-1675473;R-HSA-1369080;R-HSA-1369114;R-HSA-1369115;R-HSA-1370500;R-HSA-976991;R-HSA-1671691;R-HSA-982810;R-HSA-1364044;R-HSA-1302698;R-HSA-1170539;R-HSA-1370505;R-HSA-1671687;R-HSA-1364043
R-HSA-391160,Signal regulatory protein (SIRP) family interactions,10,18,0.001487603,0.694490027,0.996863647,10,10,0.001031672,48887,Homo sapiens,SFTPA2;SIRPA;SIRPB2;PTK2B;GRB2;CD47;SFTPA1;PTK2;SIRPB1;SKAP2,,R-HSA-391157;R-HSA-391156;R-HSA-210274;R-HSA-391158;R-HSA-391153;R-HSA-391168;R-HSA-391152;R-HSA-391155;R-HSA-391151;R-HSA-391150
R-HSA-3295583,TRP channels,17,30,0.002479339,0.699294571,0.996863647,1,2,2.06E-04,48887,Homo sapiens,TRPA1;TRPV3;TRPV1;MCOLN1;MCOLN2;TRPM1;TRPM2;TRPV6;TRPV4;RIPK1;TRPM7;TRPM8;TRPM6;TRPM3,,R-HSA-3295579
R-HSA-445144,Signal transduction by L1,14,25,0.002066116,0.703853345,0.996863647,11,11,0.00113484,48887,Homo sapiens,NRP1;CSNK2A1;ITGB3;ITGA2B;L1CAM;VAV2;CDC42;PAK1;CSNK2B;RAC2;RAC3;MAPK1;NCAM1;ITGA5;MAPK3;FGFR1,,R-HSA-392752;R-HSA-109860;R-HSA-445072;R-HSA-109862;R-HSA-374669;R-HSA-437230;R-HSA-374686;R-HSA-445069;R-HSA-445085;R-HSA-374681;R-HSA-445064
R-HSA-1912408,Pre-NOTCH Transcription and Translation,30,52,0.004297521,0.707684637,0.996863647,20,20,0.002063345,48887,Homo sapiens,NOTCH2;NOTCH3;CREBBP;EIF2C4;NOTCH1;EIF2C3;MAML1;NOTCH4;RBPJ;TNRC6C;MOV10;TFDP2;CCND1;ZC3H7B;E2F1;E2F3;MAML3;MAMLD1;EIF2C1;TP53;TNRC6A;TNRC6B,,R-HSA-1912413;R-HSA-1912412;R-HSA-1912415;R-HSA-1606682;R-HSA-1912409;R-HSA-1912410;R-HSA-4395236;R-HSA-1912407;R-HSA-1912406;R-HSA-1912401;R-HSA-1912368;R-HSA-1912364;R-HSA-1912367;R-HSA-1912366;R-HSA-1912363;R-HSA-1912362;R-HSA-4395227;R-HSA-1606561;R-HSA-4395231;R-HSA-1912416
R-HSA-5689877,Josephin domain DUBs,7,13,0.00107438,0.708663476,0.996863647,6,6,6.19E-04,48887,Homo sapiens,ATXN3;VCP;JOSD1;UBA52;RAD23B;PARK2,,R-HSA-5689111;R-HSA-5688837;R-HSA-5688786;R-HSA-5688834;R-HSA-5688797;R-HSA-5689085
R-HSA-5578768,Physiological factors,7,13,0.00107438,0.708663476,0.996863647,4,4,4.13E-04,48887,Homo sapiens,NPR2;NPPA;NKX2-5;TAZ;CORIN;HIPK2,,R-HSA-6784598;R-HSA-5578783;R-HSA-5692408;R-HSA-2032800
R-HSA-428543,Inactivation of Cdc42 and Rac,7,13,0.00107438,0.708663476,0.996863647,4,4,4.13E-04,48887,Homo sapiens,CDC42;GPC1;RAC2;RAC3;ARHGAP39;SRGAP3;SRGAP1;ROBO1,,R-HSA-428533;R-HSA-376145;R-HSA-428522;R-HSA-428536
