Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5357801,Programmed Cell Death,34,184,0.015206612,1.58E-04,0.023677279,74,134,0.013824409,48887,Homo sapiens,YWHAE;PSMD11;ROCK1;RPN2;YWHAB;HMGB1;PSMD9;MAPK8;PPP3R1;BCL2L11;PSMD7;CDH1;PSMD2;CASP3;TMED7;HIST1H1A;KPNA1;TICAM2;TNFRSF10B;DYNLL2;YWHAZ;TFDP1;APC;DLC1;PSME4;BCL2;BAX;MKRN3;CTNNB1;CYCS;DSG2;VIM;TP53;BCL2L1,,R-HSA-211715;R-HSA-139906;R-HSA-351877;R-HSA-201603;R-HSA-4331331;R-HSA-114306;R-HSA-508163;R-HSA-508162;R-HSA-211206;R-HSA-139908;R-HSA-201611;R-HSA-139913;R-HSA-201608;R-HSA-139918;R-HSA-139919;R-HSA-4331340;R-HSA-139917;R-HSA-211219;R-HSA-168849;R-HSA-201622;R-HSA-5675456;R-HSA-418846;R-HSA-418845;R-HSA-201631;R-HSA-201630;R-HSA-201629;R-HSA-201628;R-HSA-418852;R-HSA-2562564;R-HSA-211239;R-HSA-201639;R-HSA-202917;R-HSA-201640;R-HSA-211247;R-HSA-114352;R-HSA-139952;R-HSA-140214;R-HSA-202939;R-HSA-140217;R-HSA-350651;R-HSA-140221;R-HSA-202947;R-HSA-211651;R-HSA-212552;R-HSA-373705;R-HSA-114252;R-HSA-114254;R-HSA-114256;R-HSA-114259;R-HSA-202960;R-HSA-114261;R-HSA-202967;R-HSA-202966;R-HSA-266204;R-HSA-5213462;R-HSA-114264;R-HSA-202969;R-HSA-3465448;R-HSA-3465429;R-HSA-114275;R-HSA-141156;R-HSA-350319;R-HSA-350318;R-HSA-3371359;R-HSA-351849;R-HSA-114284;R-HSA-211186;R-HSA-114419;R-HSA-211191;R-HSA-211190;R-HSA-139899;R-HSA-139897;R-HSA-4331327;R-HSA-4331324
R-HSA-6804754,Regulation of TP53 Expression,4,4,3.31E-04,5.75E-04,0.078783492,5,5,5.16E-04,48887,Homo sapiens,PRDM1;TP53,,R-HSA-6804194;R-HSA-6804193;R-HSA-6804191;R-HSA-6804188;R-HSA-6804762
R-HSA-913531,Interferon Signaling,45,291,0.024049587,7.36E-04,0.093490523,29,50,0.005158362,48887,Homo sapiens,IFNAR2;SOCS3;VCAM1;SOCS1;HLA-C;KPNA4;HLA-A;SAMHD1;HLA-G;CD44;KPNA1;JAK1,,R-HSA-873924;R-HSA-873927;R-HSA-873926;R-HSA-873921;R-HSA-997314;R-HSA-873922;R-HSA-909724;R-HSA-909726;R-HSA-909720;R-HSA-909722;R-HSA-877269;R-HSA-1015702;R-HSA-909719;R-HSA-909718;R-HSA-912685;R-HSA-1678841;R-HSA-912680;R-HSA-909732;R-HSA-1176059;R-HSA-1031716;R-HSA-909729;R-HSA-909730;R-HSA-1169406;R-HSA-997311;R-HSA-877308;R-HSA-997309;R-HSA-873919;R-HSA-873918;R-HSA-909552
R-HSA-428359,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,6,13,0.00107438,0.001488014,0.17558564,2,3,3.10E-04,48887,Homo sapiens,MYC;CD44,,R-HSA-428287;R-HSA-428296
R-HSA-111446,Activation of BIM and translocation to mitochondria ,3,3,2.48E-04,0.002874135,0.316154802,2,2,2.06E-04,48887,Homo sapiens,MAPK8;BCL2L11;DLC1,,R-HSA-139918;R-HSA-139919
R-HSA-8856688,Golgi-to-ER retrograde transport,24,140,0.011570248,0.003504167,0.360929242,15,18,0.00185701,48887,Homo sapiens,TMED10;GALNT1;RAB1B;DCTN4;PLA2G4A;KIF11;TUBB4B;DYNLL2;USE1;BICD2;NAPG;TUBA1B;TUBB3;KIF5B;DLC1;TMED3;TMED2;KIF2C;TMED7;PAFAH1B2,,R-HSA-8849350;R-HSA-8849348;R-HSA-8848484;R-HSA-6811427;R-HSA-6811426;R-HSA-6811425;R-HSA-8849353;R-HSA-6811415;R-HSA-6811414;R-HSA-6811412;R-HSA-6811411;R-HSA-6811423;R-HSA-6811422;R-HSA-6811418;R-HSA-6811417
R-HSA-1538133,G0 and Early G1,8,27,0.002231405,0.004123236,0.399953878,10,10,0.001031672,48887,Homo sapiens,CCNA2;PCNA;TFDP1;CCNE2;HDAC1;DYRK1A;MYBL2;CDC25B,,R-HSA-1362277;R-HSA-1362261;R-HSA-1363303;R-HSA-1227670;R-HSA-1227671;R-HSA-1363314;R-HSA-1362300;R-HSA-1362270;R-HSA-1363311;R-HSA-1363306
R-HSA-453279,Mitotic G1-G1/S phases,24,143,0.011818182,0.004520999,0.411410923,47,55,0.005674198,48887,Homo sapiens,RRM2;PSMD11;CDKN1B;PCNA;RPN2;HDAC1;PRIM1;DYRK1A;RPA2;CDC7;PPP2R2A;CDC25B;CCNA2;PSMD9;TFDP1;PSMD7;CDK6;DBF4;CCNE2;PPP2R1B;MYC;PSMD2;MYBL2,,R-HSA-182594;R-HSA-1362261;R-HSA-187520;R-HSA-1227670;R-HSA-1227671;R-HSA-69191;R-HSA-1362270;R-HSA-69195;R-HSA-69199;R-HSA-157906;R-HSA-1363276;R-HSA-8848414;R-HSA-68954;R-HSA-69213;R-HSA-1363274;R-HSA-113503;R-HSA-113505;R-HSA-188386;R-HSA-113504;R-HSA-68960;R-HSA-187552;R-HSA-188390;R-HSA-69223;R-HSA-1363314;R-HSA-1362300;R-HSA-69227;R-HSA-113643;R-HSA-539107;R-HSA-187506;R-HSA-1362277;R-HSA-141299;R-HSA-8848436;R-HSA-1363303;R-HSA-68914;R-HSA-187574;R-HSA-68917;R-HSA-187575;R-HSA-68916;R-HSA-68918;R-HSA-69691;R-HSA-188345;R-HSA-69562;R-HSA-1363311;R-HSA-1226094;R-HSA-188350;R-HSA-1226095;R-HSA-1363306
R-HSA-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,32,210,0.017355372,0.00492416,0.428401896,32,48,0.004952027,48887,Homo sapiens,TMED10;STX16;RAB1B;DCTN4;GOLIM4;KIF11;USE1;BICD2;NAPG;TUBA1B;TUBB3;MAN1A2;KIF5B;GOLGA1;TMED3;STX6;TMED2;TMED7;GALNT1;PLA2G4A;TUBB4B;DYNLL2;RAB30;DLC1;PLIN3;KIF2C;PAFAH1B2;VAMP3,,R-HSA-6811431;R-HSA-8849350;R-HSA-8849348;R-HSA-6811427;R-HSA-6811426;R-HSA-6811425;R-HSA-8849353;R-HSA-6811433;R-HSA-8847638;R-HSA-8847637;R-HSA-8849748;R-HSA-8847635;R-HSA-8848484;R-HSA-6814671;R-HSA-6814670;R-HSA-6814091;R-HSA-6811415;R-HSA-6811414;R-HSA-6814678;R-HSA-6811412;R-HSA-6814676;R-HSA-6811411;R-HSA-6814675;R-HSA-6814674;R-HSA-6811423;R-HSA-6811422;R-HSA-6814684;R-HSA-6814683;R-HSA-6811418;R-HSA-6814682;R-HSA-6811417;R-HSA-8847544
R-HSA-1227986,Signaling by ERBB2,12,55,0.004545455,0.005999041,0.486572791,27,38,0.003920355,48887,Homo sapiens,ERBB2IP;HSP90AA1;SHC1;GAB1;GRB2;STUB1;EGFR,,R-HSA-1250195;R-HSA-1306963;R-HSA-1251922;R-HSA-8848005;R-HSA-6785636;R-HSA-1358801;R-HSA-1306965;R-HSA-1306969;R-HSA-1250463;R-HSA-1306972;R-HSA-1918092;R-HSA-1250498;R-HSA-1918095;R-HSA-1358790;R-HSA-6785648;R-HSA-1963589;R-HSA-1247497;R-HSA-1306957;R-HSA-1963586;R-HSA-1963581;R-HSA-1963582;R-HSA-1250486;R-HSA-1963578;R-HSA-1250488;R-HSA-1963563;R-HSA-1251944;R-HSA-8847995
R-HSA-6803529,FGFR2 alternative splicing,8,29,0.002396694,0.006238113,0.486572791,4,4,4.13E-04,48887,Homo sapiens,TIAL1;HNRNPM;PTBP1;RBFOX2;POLR2B;POLR2C;HNRNPF;HNRNPA1,,R-HSA-6803527;R-HSA-6803523;R-HSA-6803838;R-HSA-6803836
R-HSA-426496,Post-transcriptional silencing by small RNAs,4,8,6.61E-04,0.006893195,0.516989654,3,3,3.10E-04,48887,Homo sapiens,AGO3;AGO2;TNRC6A;TNRC6B,,R-HSA-426522;R-HSA-426520;R-HSA-426489
R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,13,64,0.005289256,0.007674157,0.532184354,31,39,0.004023522,48887,Homo sapiens,CNOT4;CCNA2;TFDP1;CDKN1B;PCNA;CCNE2;PRMT1;RQCD1;BAX;MKRN3;ARID3A;TP53,,R-HSA-3215152;R-HSA-6801637;R-HSA-6803875;R-HSA-6798304;R-HSA-6803946;R-HSA-6801641;R-HSA-6802165;R-HSA-6803892;R-HSA-6803890;R-HSA-6803391;R-HSA-3215144;R-HSA-6803388;R-HSA-6798268;R-HSA-187934;R-HSA-6802170;R-HSA-6791109;R-HSA-6798020;R-HSA-6791363;R-HSA-6798031;R-HSA-6803917;R-HSA-6803914;R-HSA-6798282;R-HSA-6803400;R-HSA-6803858;R-HSA-6803935;R-HSA-6803871;R-HSA-69562;R-HSA-6798044;R-HSA-6791387;R-HSA-6798299;R-HSA-6803801
R-HSA-6811436,COPI-independent Golgi-to-ER retrograde traffic,12,57,0.004710744,0.007826241,0.532184354,4,7,7.22E-04,48887,Homo sapiens,TUBA1B;TUBB3;GALNT1;DCTN4;DLC1;PLA2G4A;TUBB4B;DYNLL2;PAFAH1B2;BICD2,,R-HSA-8849350;R-HSA-8849348;R-HSA-8848484;R-HSA-8849353
R-HSA-2559583,Cellular Senescence,29,194,0.016033058,0.009142653,0.559200474,72,87,0.008975549,48887,Homo sapiens,CDKN1B;MAPK8;CDH1;UBN1;MAPK1;HIST1H1A;MAP2K3;JUN;EED;H2AFZ;CBX2;MRE11A;MAPK14;CCNA2;IL1A;TFDP1;CDK6;AGO3;CCNE2;ANAPC5;ATM;TP53;TNRC6A;BAP1;EZH2;TNRC6B,,R-HSA-3790137;R-HSA-3228469;R-HSA-3790130;R-HSA-3857329;R-HSA-3788725;R-HSA-3240765;R-HSA-3788724;R-HSA-3209151;R-HSA-3240766;R-HSA-3229089;R-HSA-3223200;R-HSA-3785768;R-HSA-450325;R-HSA-3788705;R-HSA-450333;R-HSA-187934;R-HSA-3788708;R-HSA-3229102;R-HSA-3857305;R-HSA-3222546;R-HSA-3209109;R-HSA-3857308;R-HSA-3209111;R-HSA-450222;R-HSA-3209114;R-HSA-5682044;R-HSA-450348;R-HSA-3786258;R-HSA-5682020;R-HSA-5693540;R-HSA-3222533;R-HSA-5682018;R-HSA-3209096;R-HSA-69562;R-HSA-5682026;R-HSA-182594;R-HSA-168136;R-HSA-3240957;R-HSA-3878123;R-HSA-3209185;R-HSA-3240295;R-HSA-3785711;R-HSA-3239014;R-HSA-198746;R-HSA-3239019;R-HSA-3209195;R-HSA-168162;R-HSA-4568740;R-HSA-3240787;R-HSA-3229138;R-HSA-4568737;R-HSA-3238999;R-HSA-3797202;R-HSA-4647594;R-HSA-3132737;R-HSA-4647593;R-HSA-6792712;R-HSA-3788745;R-HSA-3222593;R-HSA-450292;R-HSA-3788748;R-HSA-3797196;R-HSA-3223236;R-HSA-3209160;R-HSA-3240777;R-HSA-5693612;R-HSA-4647613;R-HSA-3240783;R-HSA-450296;R-HSA-5693609;R-HSA-69886;R-HSA-3240782
R-HSA-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,6,19,0.001570248,0.009167221,0.559200474,10,14,0.001444341,48887,Homo sapiens,CCNA2;CDKN1B;CCNE2;ARID3A;TP53,,R-HSA-6791363;R-HSA-6798304;R-HSA-6803391;R-HSA-69562;R-HSA-6803388;R-HSA-187934;R-HSA-6791387;R-HSA-6798299;R-HSA-6803801;R-HSA-6803400
R-HSA-111447,Activation of BAD and translocation to mitochondria ,6,19,0.001570248,0.009167221,0.559200474,3,5,5.16E-04,48887,Homo sapiens,YWHAE;PPP3R1;YWHAB;BCL2;MKRN3;YWHAZ,,R-HSA-139906;R-HSA-139899;R-HSA-139897
R-HSA-4411364,Binding of TCF/LEF:CTNNB1 to target gene promoters,4,9,7.44E-04,0.010278866,0.596451496,4,4,4.13E-04,48887,Homo sapiens,TCF7L1;MYC;CTNNB1,,R-HSA-4411351;R-HSA-4411367;R-HSA-4411357;R-HSA-4411372
R-HSA-69273,Cyclin A/B1 associated events during G2/M transition,7,26,0.00214876,0.011504983,0.596451496,14,24,0.002476014,48887,Homo sapiens,CCNA2;MPP2;XPO1;PPP2R1B;PPP2R2A;CDC25B,,R-HSA-170087;R-HSA-170084;R-HSA-170116;R-HSA-4088024;R-HSA-170120;R-HSA-170088;R-HSA-170153;R-HSA-170158;R-HSA-170159;R-HSA-170156;R-HSA-170161;R-HSA-4088141;R-HSA-170072;R-HSA-69756
R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,9,39,0.00322314,0.011540736,0.596451496,13,17,0.001753843,48887,Homo sapiens,SMAD2;TGIF2;SMAD3;TFDP1;HDAC1;MYC;SERPINE1,,R-HSA-2031355;R-HSA-2187303;R-HSA-2187309;R-HSA-2186643;R-HSA-173488;R-HSA-2106579;R-HSA-1484099;R-HSA-2127257;R-HSA-2106586;R-HSA-2176475;R-HSA-2187293;R-HSA-170847;R-HSA-2106591
R-HSA-1912422,Pre-NOTCH Expression and Processing,14,76,0.006280992,0.012768471,0.596451496,28,30,0.003095017,48887,Homo sapiens,JUN;TFDP1;NOTCH1;B4GALT1;AGO3;POFUT1;AGO2;TMED2;ATP2A2;TP53;TNRC6A;TNRC6B,,R-HSA-1912349;R-HSA-1912413;R-HSA-1912412;R-HSA-1606682;R-HSA-1912409;R-HSA-1912410;R-HSA-1912406;R-HSA-1912401;R-HSA-4395227;R-HSA-4395231;R-HSA-1912382;R-HSA-1912379;R-HSA-4395236;R-HSA-1912378;R-HSA-1912372;R-HSA-1912374;R-HSA-1912369;R-HSA-1912368;R-HSA-1912364;R-HSA-1912367;R-HSA-1912366;R-HSA-1912363;R-HSA-1912362;R-HSA-1606561;R-HSA-1912353;R-HSA-1912352;R-HSA-1912416;R-HSA-1912355
R-HSA-2428933,SHC-related events triggered by IGF1R,5,15,0.001239669,0.013596166,0.596451496,5,5,5.16E-04,48887,Homo sapiens,SHC1;GRB2;IGF1R,,R-HSA-2404193;R-HSA-2404195;R-HSA-5686318;R-HSA-5686072;R-HSA-5686073
R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,6,21,0.001735537,0.014360984,0.596451496,10,11,0.00113484,48887,Homo sapiens,TFDP1;PCNA;PRMT1;BAX;MKRN3;TP53,,R-HSA-3215152;R-HSA-6791109;R-HSA-6803892;R-HSA-6803875;R-HSA-6803858;R-HSA-6803890;R-HSA-6803871;R-HSA-3215144;R-HSA-6798268;R-HSA-6798282
R-HSA-199991,Membrane Trafficking,69,569,0.047024793,0.014584006,0.596451496,115,182,0.018776437,48887,Homo sapiens,YWHAE;TFRC;YWHAB;GOLIM4;AP2A1;MIA3;KIF11;WASL;AREG;USE1;BICD2;TUBA1B;PPP6R1;TUBB3;MAN1A2;KIF5B;GOLGA1;TMED3;TMED2;AP3S1;TMED7;SH3GL1;WNT5A;PLA2G4A;VPS37A;VPS37B;DYNLL2;YWHAZ;RAB30;TBC1D4;PLIN3;KIF2C;EXOC2;PAFAH1B2;VAMP3;ARF6;SEC23A;PRKAA2;TMED10;STX16;RAB1B;DCTN4;COPS7B;TGFA;NAPG;EGFR;AP2S1;STX6;LDLR;TXNDC5;SEC24B;SNAPIN;SEC24A;GALNT1;LNPEP;ARPC5;TUBB4B;RAB10;RAB14;DLC1;MKRN3;GRB2;PICALM,,R-HSA-1445143;R-HSA-8868230;R-HSA-6814831;R-HSA-8868236;R-HSA-1445149;R-HSA-1445144;R-HSA-6814833;R-HSA-2316347;R-HSA-6807877;R-HSA-6807875;R-HSA-6807872;R-HSA-8867756;R-HSA-8867754;R-HSA-432688;R-HSA-190520;R-HSA-8847544;R-HSA-6811431;R-HSA-8849350;R-HSA-8849348;R-HSA-6811427;R-HSA-432706;R-HSA-6811426;R-HSA-432707;R-HSA-6811425;R-HSA-8849353;R-HSA-6811433;R-HSA-432712;R-HSA-8866269;R-HSA-6807868;R-HSA-6807866;R-HSA-6807864;R-HSA-8868071;R-HSA-8866279;R-HSA-8866277;R-HSA-2316352;R-HSA-8863471;R-HSA-5694527;R-HSA-8856813;R-HSA-5694522;R-HSA-8866283;R-HSA-8863723;R-HSA-8863721;R-HSA-8868072;R-HSA-8856808;R-HSA-6811415;R-HSA-6811414;R-HSA-6811412;R-HSA-6811411;R-HSA-1454689;R-HSA-6811423;R-HSA-6811422;R-HSA-6811418;R-HSA-1454699;R-HSA-6811417;R-HSA-5694423;R-HSA-5694421;R-HSA-5694418;R-HSA-5694417;R-HSA-5694427;R-HSA-5694425;R-HSA-8847638;R-HSA-8847637;R-HSA-8847635;R-HSA-5694415;R-HSA-8867613;R-HSA-5694413;R-HSA-8871196;R-HSA-5694410;R-HSA-8871194;R-HSA-8871193;R-HSA-5694409;R-HSA-190877;R-HSA-6814671;R-HSA-6814670;R-HSA-8868651;R-HSA-8868648;R-HSA-5694439;R-HSA-6814678;R-HSA-8868661;R-HSA-5694436;R-HSA-6814676;R-HSA-8868660;R-HSA-8868659;R-HSA-6814675;R-HSA-6814674;R-HSA-8868658;R-HSA-5694435;R-HSA-5694446;R-HSA-8869438;R-HSA-6814684;R-HSA-5694445;R-HSA-6814683;R-HSA-6814682;R-HSA-5694441;R-HSA-421831;R-HSA-203973;R-HSA-6809006;R-HSA-421836;R-HSA-6809003;R-HSA-2255343;R-HSA-421835;R-HSA-917696;R-HSA-421833;R-HSA-8862280;R-HSA-6809015;R-HSA-6809014;R-HSA-8849748;R-HSA-6809011;R-HSA-6809010;R-HSA-8848484;R-HSA-204008;R-HSA-917730;R-HSA-6814091;R-HSA-429815;R-HSA-191737
R-HSA-2559580,Oxidative Stress Induced Senescence,18,109,0.009008264,0.014674246,0.596451496,35,38,0.003920355,48887,Homo sapiens,MAP2K3;JUN;EED;H2AFZ;CBX2;MAPK14;MAPK8;TFDP1;CDK6;AGO3;MAPK1;TP53;TNRC6A;BAP1;TNRC6B;EZH2,,R-HSA-182594;R-HSA-3228469;R-HSA-168136;R-HSA-3240957;R-HSA-3240765;R-HSA-3209151;R-HSA-3240766;R-HSA-3229089;R-HSA-3223200;R-HSA-3209185;R-HSA-450325;R-HSA-3240295;R-HSA-3239014;R-HSA-3239019;R-HSA-450333;R-HSA-3209195;R-HSA-3229102;R-HSA-168162;R-HSA-3240787;R-HSA-3229138;R-HSA-3222546;R-HSA-3238999;R-HSA-3209111;R-HSA-450222;R-HSA-3209114;R-HSA-450348;R-HSA-3222593;R-HSA-450292;R-HSA-3222533;R-HSA-3223236;R-HSA-3240777;R-HSA-3240783;R-HSA-450296;R-HSA-69886;R-HSA-3240782
R-HSA-4086398,Ca2+ pathway,14,78,0.006446281,0.01559681,0.596451496,13,26,0.002682348,48887,Homo sapiens,TCF7L1;FZD5;WNT5A;PPP3CA;PPP3R1;PPP3CB;GNG2;GNG5;AGO3;AGO2;CTNNB1;GNB5;TNRC6A;TNRC6B,,R-HSA-4411365;R-HSA-4518575;R-HSA-4551465;R-HSA-2730872;R-HSA-4411383;R-HSA-398193;R-HSA-3965444;R-HSA-3965446;R-HSA-3965447;R-HSA-3965441;R-HSA-4518585;R-HSA-398040;R-HSA-4551451
R-HSA-69206,G1/S Transition,19,119,0.009834711,0.016981065,0.596451496,28,34,0.003507686,48887,Homo sapiens,RRM2;PSMD11;CDKN1B;PCNA;RPN2;PRIM1;RPA2;CDC7;CDC25B;CCNA2;PSMD9;TFDP1;PSMD7;DBF4;CCNE2;PPP2R1B;MYC;PSMD2,,R-HSA-187520;R-HSA-69191;R-HSA-69195;R-HSA-69199;R-HSA-157906;R-HSA-8848414;R-HSA-68954;R-HSA-113503;R-HSA-113505;R-HSA-188386;R-HSA-113504;R-HSA-68960;R-HSA-187552;R-HSA-188390;R-HSA-113643;R-HSA-539107;R-HSA-187506;R-HSA-8848436;R-HSA-68914;R-HSA-187574;R-HSA-68917;R-HSA-187575;R-HSA-68916;R-HSA-68918;R-HSA-69691;R-HSA-188345;R-HSA-69562;R-HSA-188350
